Lab,Num,P-value
Adamiak,8,0.00e+00
Adamiak,10,0.00e+00
Adamiak,2,0.00e+00
RNAComposerAS1,1,0.00e+00
Adamiak,3,0.00e+00
RNAComposerAS1,2,0.00e+00
Chen,3,0.00e+00
Chen,6,0.00e+00
Adamiak,7,0.00e+00
Adamiak,5,0.00e+00
RNAComposerAS2,2,0.00e+00
SimRNAAS1,1,0.00e+00
Adamiak,4,0.00e+00
RNAComposerAS2,1,0.00e+00
Adamiak,9,0.00e+00
Adamiak,6,0.00e+00
Adamiak,1,0.00e+00
Chen,1,0.00e+00
Chen,10,5.55e-17
Chen,4,3.33e-16
SimRNAAS2,7,7.22e-16
SimRNAAS2,4,3.89e-15
RW3DAS2,5,2.19e-14
Chen,7,3.19e-14
RW3DAS2,1,1.31e-13
RW3DAS2,4,7.76e-13
RW3DAS1,5,8.87e-13
Chen,8,6.89e-12
SimRNAAS2,9,2.80e-10
Chen,9,5.34e-10
RW3DAS2,8,2.63e-09
RW3DAS2,7,4.41e-09
RW3DAS2,9,1.06e-08
RW3DAS1,4,1.68e-08
RW3DAS1,3,2.38e-08
RW3DAS2,10,2.66e-08
SimRNAAS2,1,2.74e-08
RW3DAS1,9,7.10e-08
RW3DAS1,7,1.24e-07
RW3DAS1,6,3.10e-07
RW3DAS1,2,1.61e-05
Chen,2,2.35e-05
RW3DAS1,1,2.73e-05
RW3DAS2,3,5.20e-05
Chen,5,8.54e-05
RW3DAS2,2,1.21e-04
SimRNAAS1,3,5.31e-04
SimRNAAS1,9,7.05e-04
RW3DAS1,10,9.27e-04
SimRNAAS1,7,1.81e-03
SimRNAAS2,2,2.55e-03
RW3DAS2,6,1.04e-02
SimRNAAS2,5,1.54e-02
SimRNAAS2,3,2.41e-02
SimRNAAS2,10,2.43e-02
RW3DAS1,8,3.25e-02
SimRNAAS1,10,3.96e-02
SimRNAAS2,6,4.03e-02
SimRNAAS1,2,4.50e-02
SimRNAAS1,5,4.52e-02
SimRNAAS1,8,1.05e-01
SimRNAAS2,8,2.04e-01
SimRNAAS1,6,2.37e-01
SimRNAAS1,4,3.92e-01
3dRNAAS2,2,8.17e-01
3dRNAAS2,4,8.18e-01
3dRNAAS2,7,8.19e-01
3dRNAAS2,5,8.19e-01
3dRNAAS2,3,8.21e-01
3dRNAAS2,9,8.21e-01
3dRNAAS2,6,8.22e-01
3dRNAAS2,10,8.26e-01
3dRNAAS2,1,8.31e-01
3dRNAAS2,8,8.40e-01
