Lab,Num,INF-all,INF-wc,INF-nwc,INF-stack,RMSD,Solution
Adamiak,1,0.7865,0.9300,0.5369,0.7500,30.9672,PZ28tBox_solution_0.pdb
Adamiak,2,0.7757,0.9361,0.6301,0.7224,18.1719,PZ28tBox_solution_0.pdb
Adamiak,3,0.7757,0.9456,0.5381,0.7287,23.5885,PZ28tBox_solution_0.pdb
Adamiak,4,0.7835,0.9475,0.5145,0.7389,31.0220,PZ28tBox_solution_0.pdb
Adamiak,5,0.7835,0.9643,0.4287,0.7407,28.6603,PZ28tBox_solution_0.pdb
Bujnicki,1,0.7128,0.8352,0.3835,0.6939,34.0013,PZ28tBox_solution_0.pdb
Bujnicki,2,0.7007,0.8422,0.3835,0.6742,29.4443,PZ28tBox_solution_0.pdb
Bujnicki,3,0.7268,0.8555,0.4583,0.6990,27.4809,PZ28tBox_solution_0.pdb
Bujnicki,4,0.7037,0.8250,0.3835,0.6841,20.0496,PZ28tBox_solution_0.pdb
Bujnicki,5,0.7181,0.8586,0.4583,0.6841,28.2815,PZ28tBox_solution_0.pdb
Chen,1,0.7660,0.9274,0.6054,0.7118,38.3903,PZ28tBox_solution_0.pdb
Chen,2,0.8108,0.9558,0.6903,0.7586,38.5746,PZ28tBox_solution_0.pdb
Chen,3,0.7875,0.9638,0.5834,0.7336,35.2378,PZ28tBox_solution_0.pdb
Chen,4,0.8124,0.9638,0.7702,0.7489,34.3525,PZ28tBox_solution_0.pdb
Chen,5,0.7950,0.9643,0.6727,0.7320,33.8953,PZ28tBox_solution_0.pdb
Chen,6,0.7852,0.9266,0.6727,0.7369,32.7745,PZ28tBox_solution_0.pdb
Chen,7,0.8167,0.9638,0.7399,0.7600,37.9864,PZ28tBox_solution_0.pdb
Chen,8,0.7973,0.9361,0.6262,0.7581,39.1466,PZ28tBox_solution_0.pdb
Chen,9,0.7882,0.9545,0.6727,0.7270,37.7856,PZ28tBox_solution_0.pdb
Chen,10,0.7921,0.9550,0.6468,0.7372,37.0573,PZ28tBox_solution_0.pdb
Das,1,0.8203,0.9316,0.5834,0.8002,30.8269,PZ28tBox_solution_0.pdb
Das,2,0.8031,0.9316,0.5636,0.7770,35.3666,PZ28tBox_solution_0.pdb
Das,3,0.8336,0.9395,0.5834,0.8181,31.4468,PZ28tBox_solution_0.pdb
Das,4,0.8260,0.9316,0.5834,0.8092,31.4404,PZ28tBox_solution_0.pdb
Das,5,0.8355,0.9300,0.5834,0.8254,32.6337,PZ28tBox_solution_0.pdb
Das,6,0.8058,0.9221,0.6054,0.7791,31.7033,PZ28tBox_solution_0.pdb
Das,7,0.8212,0.9300,0.6301,0.7979,31.2239,PZ28tBox_solution_0.pdb
Das,8,0.7963,0.9300,0.5145,0.7762,30.9710,PZ28tBox_solution_0.pdb
Das,9,0.8183,0.9475,0.5457,0.7973,33.1317,PZ28tBox_solution_0.pdb
Das,10,0.8318,0.9316,0.6301,0.8121,28.8402,PZ28tBox_solution_0.pdb
Ding,1,0.6605,0.8289,0.3254,0.6149,34.3466,PZ28tBox_solution_0.pdb
Ding,2,0.7092,0.8750,0.3638,0.6669,39.4563,PZ28tBox_solution_0.pdb
FARFAR2,1,0.8297,0.9395,0.5834,0.8124,29.8252,PZ28tBox_solution_0.pdb
FARFAR2,2,0.8431,0.9395,0.6482,0.8254,30.2225,PZ28tBox_solution_0.pdb
FARFAR2,3,0.8212,0.9300,0.6727,0.7934,22.1729,PZ28tBox_solution_0.pdb
FARFAR2,4,0.8089,0.9239,0.5457,0.7916,33.9505,PZ28tBox_solution_0.pdb
FARFAR2,5,0.8251,0.9239,0.6301,0.8047,35.1703,PZ28tBox_solution_0.pdb
FARFAR2,6,0.8031,0.9316,0.5636,0.7770,35.3666,PZ28tBox_solution_0.pdb
FARFAR2,7,0.8299,0.9316,0.6301,0.8092,34.5633,PZ28tBox_solution_0.pdb
FARFAR2,8,0.8318,0.9316,0.6301,0.8121,28.8402,PZ28tBox_solution_0.pdb
FARFAR2,9,0.8107,0.9464,0.6262,0.7762,34.9761,PZ28tBox_solution_0.pdb
FARFAR2,10,0.8318,0.9475,0.6054,0.8092,29.9695,PZ28tBox_solution_0.pdb
RNAComposer,1,0.8073,0.9643,0.6482,0.7582,19.6298,PZ28tBox_solution_0.pdb
RNAComposer,2,0.7951,0.9558,0.4901,0.7581,28.1740,PZ28tBox_solution_0.pdb
RNAComposer,3,0.7329,0.9456,0.4602,0.6685,26.8256,PZ28tBox_solution_0.pdb
RNAComposer,4,0.7236,0.9464,0.3430,0.6627,24.6031,PZ28tBox_solution_0.pdb
RNAComposer,5,0.7317,0.9381,0.2750,0.6816,21.4739,PZ28tBox_solution_0.pdb
SimRNA,1,0.6635,0.8250,,0.6520,27.8087,PZ28tBox_solution_0.pdb
SimRNA,2,0.6436,0.7913,,0.6384,22.1700,PZ28tBox_solution_0.pdb
SimRNA,3,0.6377,0.7940,,0.6241,32.6790,PZ28tBox_solution_0.pdb
SimRNA,4,0.6536,0.7517,,0.6667,28.1454,PZ28tBox_solution_0.pdb
SimRNA,5,0.6329,0.8060,,0.6212,29.0996,PZ28tBox_solution_0.pdb
TFN,1,0.7955,0.9124,0.6063,0.7696,25.1537,PZ28tBox_solution_0.pdb
TFN,2,0.8212,0.9143,0.5834,0.8096,35.9923,PZ28tBox_solution_0.pdb
TFN,3,0.8297,0.9221,0.5834,0.8196,14.5035,PZ28tBox_solution_0.pdb
TFN,4,0.8059,0.9068,0.6301,0.7825,31.9132,PZ28tBox_solution_0.pdb
TFN,5,0.8431,0.9395,0.6482,0.8254,30.0693,PZ28tBox_solution_0.pdb
TFN,6,0.8221,0.9143,0.5636,0.8136,31.3635,PZ28tBox_solution_0.pdb
TFN,7,0.8088,0.9068,0.5834,0.7928,30.5177,PZ28tBox_solution_0.pdb
TFN,8,0.8183,0.9316,0.6054,0.7945,33.0615,PZ28tBox_solution_0.pdb
TFN,9,0.8212,0.9316,0.5882,0.8031,29.1043,PZ28tBox_solution_0.pdb
TFN,10,0.8242,0.9221,0.6581,0.8018,23.0389,PZ28tBox_solution_0.pdb
Xiao,1,0.5312,0.4743,,0.6087,32.5816,PZ28tBox_solution_0.pdb
Xiao,2,0.5142,0.4288,,0.6003,29.4032,PZ28tBox_solution_0.pdb
Xiao,3,0.5399,0.4633,,0.6142,31.6705,PZ28tBox_solution_0.pdb
Xiao,4,0.5407,0.5361,,0.5946,32.3135,PZ28tBox_solution_0.pdb
Xiao,5,0.6652,0.8078,,0.6671,32.1224,PZ28tBox_solution_0.pdb
iFoldRNA,1,0.6254,0.7127,,0.6385,34.2251,PZ28tBox_solution_0.pdb
iFoldRNA,2,0.6362,0.7788,0.0626,0.6446,31.6286,PZ28tBox_solution_0.pdb
iFoldRNA,3,0.6083,0.7576,,0.6107,28.2874,PZ28tBox_solution_0.pdb
iFoldRNA,4,0.6184,0.7186,,0.6331,22.3903,PZ28tBox_solution_0.pdb
iFoldRNA,5,0.6184,0.7788,0.1463,0.5994,35.5126,PZ28tBox_solution_0.pdb
