metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.23411039756200525,0.0030702837182789372,0.17549028366879532,0.027418460231554965,0.1108799839549749,0.04164503684071328,158
DI_all,False,0.5866683779309161,5.50063834702965e-16,0.8940673449686176,2.7656400285506714e-56,0.7436357702349871,7.999589002423161e-43,158
INF_all,True,0.43426158445197527,1.1935581755495457e-08,0.9318801088717412,1.3700210200248008e-70,0.7754083731154168,3.074644745624759e-46,158
INF_nwc,True,0.6376781144061024,2.067090799149689e-19,0.7633696614642405,2.052465035788889e-31,0.5678192933015345,6.997780497927225e-20,158
INF_stacking,True,0.663842780734236,1.9781686156386987e-21,0.9129168888452455,1.3515925450356852e-62,0.7434837759786322,1.0873876759389878e-42,158
INF_wc,True,0.6353017095121931,3.0845794614923684e-19,0.9425006787983994,3.766336660200356e-76,0.8104881605954358,4.8812244708330835e-50,158
mcq,False,0.6185976031558201,4.6739687334677305e-18,0.8017367722680059,1.0664722739520901e-36,0.6075815199698874,3.837081649271338e-29,158
P-value,False,0.3024662543846748,0.00011217483159920424,0.5383942043127514,2.961560274314651e-13,0.4283590499939792,1.5461203672520596e-12,158
RMSD,False,0.7429402918744392,5.422665063807785e-29,0.7588815927218172,7.32706416200167e-31,0.5877361189665551,2.198140077693217e-27,158
TM-score,True,0.9777053498123917,1.1874153482331783e-107,0.8582820021522217,4.698200840316082e-47,0.6961623687691643,1.352735211248897e-37,158
lDDT,True,0.8525650830531631,8.129907452850995e-46,0.9666414665913227,3.4668142361133747e-94,0.8641041304050627,5.281557225142435e-57,158
