metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,-0.7423612698981604,5.010382590481158e-07,-0.44152106481097764,0.008947572028384582,-0.2648803440808716,0.029045082446054183,34
DI_all,False,0.748947960590259,3.4886888780649264e-07,0.7130634071810542,2.219107326662402e-06,0.572192513368984,1.948956004262247e-06,34
INF_all,True,0.4465651556464967,0.008109414206042196,0.5693977975646162,0.0004404875686636193,0.4010783244095037,0.0008913638736911325,34
INF_nwc,True,0.1322093953426133,0.5678110163230171,0.06621079174698831,0.7755295148545489,0.06491080891451496,0.6911934259846206,21
INF_stacking,True,0.3487918393600272,0.04320685925053178,0.46699267048914744,0.005363318511841403,0.31964336677873345,0.007950642241573557,34
INF_wc,True,0.5562661673495208,0.0006352435804883926,0.6660043795871592,1.715295133210721e-05,0.4597829221875076,0.00016092663405325642,34
mcq,False,0.02255597738035372,0.8992417774016597,-0.22293528982474836,0.2050397433510183,-0.09634258962687386,0.4233586661348514,34
P-value,False,0.28059830648595263,0.10795829953312673,0.6140158358711038,0.00011228437568272545,0.49598633435146827,0.00013429610409388195,34
RMSD,False,0.7741696968562153,7.823428215093084e-08,0.7775401069518716,6.315097740284223e-08,0.6363636363636365,1.2077018172296299e-07,34
TM-score,True,0.9053096069612354,1.9353019196720568e-13,0.8354217701453431,7.951086119228618e-10,0.662501056284414,3.7747713305284617e-08,34
