metric,pearson_coef_mean,pearson_coef_std,pearson_coef_count,spearman_coef_mean,spearman_coef_std,kendall_coef_mean,kendall_coef_std,n_models_sum
lDDT,0.8,0.1386,61,0.786,0.1993,0.6386,0.1778,4599
DI_all,0.6604,0.207,61,0.7565,0.2143,0.6048,0.1882,4599
RMSD,0.6797,0.246,61,0.6963,0.2478,0.5526,0.2088,4599
P-value,0.3812,0.212,58,0.667,0.2476,0.5292,0.2097,4599
INF_all,0.5652,0.2439,61,0.6095,0.2367,0.4567,0.1901,4599
TM-score,0.6292,0.2904,61,0.595,0.2571,0.4543,0.2145,4599
INF_stacking,0.5428,0.2381,61,0.5632,0.2401,0.4147,0.1882,4599
INF_wc,0.5132,0.2657,61,0.5184,0.3211,0.3957,0.2567,4599
mcq,0.3525,0.2502,61,0.3779,0.2781,0.2687,0.1969,4599
INF_nwc,0.2521,0.321,59,0.2493,0.2955,0.1911,0.2266,4599
Clash_Score,0.186,0.3157,61,0.1323,0.2831,0.0889,0.1953,4599
