metric,target,has_metric,models_in_target_reference,models_in_target_metric,missing_models_in_target,missing_target_completely
Clash_Score,CR1107,True,180,180,0,False
Clash_Score,CR1108,True,164,164,0,False
Clash_Score,CR1116,True,145,145,0,False
Clash_Score,CR1117,True,153,153,0,False
Clash_Score,CR1126,True,140,140,0,False
Clash_Score,CR1128,True,137,137,0,False
Clash_Score,CR1136,True,158,158,0,False
Clash_Score,CR1138,True,130,130,0,False
Clash_Score,CR1149,True,138,138,0,False
Clash_Score,CR1156,True,145,145,0,False
Clash_Score,CR1189,True,136,136,0,False
Clash_Score,CR1190,True,132,132,0,False
Clash_Score,PZ1,True,28,28,0,False
Clash_Score,PZ10,True,26,26,0,False
Clash_Score,PZ10tBox,True,26,26,0,False
Clash_Score,PZ10tRNA,True,26,26,0,False
Clash_Score,PZ11,True,51,51,0,False
Clash_Score,PZ11NMR,True,53,53,0,False
Clash_Score,PZ12,True,51,51,0,False
Clash_Score,PZ13,True,55,55,0,False
Clash_Score,PZ14Bound,True,64,64,0,False
Clash_Score,PZ14Free,True,52,52,0,False
Clash_Score,PZ15,True,74,74,0,False
Clash_Score,PZ15noend,True,74,74,0,False
Clash_Score,PZ16a,True,77,77,0,False
Clash_Score,PZ16b,True,80,80,0,False
Clash_Score,PZ17,True,107,107,0,False
Clash_Score,PZ18,True,59,59,0,False
Clash_Score,PZ19,True,56,56,0,False
Clash_Score,PZ2,True,13,13,0,False
Clash_Score,PZ20,True,55,55,0,False
Clash_Score,PZ21,True,54,54,0,False
Clash_Score,PZ22,True,45,45,0,False
Clash_Score,PZ23,True,35,35,0,False
Clash_Score,PZ24,True,90,90,0,False
Clash_Score,PZ25,True,47,47,0,False
Clash_Score,PZ26,True,67,67,0,False
Clash_Score,PZ26tBox,True,67,67,0,False
Clash_Score,PZ26tRNA,True,67,67,0,False
Clash_Score,PZ27,True,67,67,0,False
Clash_Score,PZ27tBox,True,67,67,0,False
Clash_Score,PZ27tRNA,True,67,67,0,False
Clash_Score,PZ28,True,72,72,0,False
Clash_Score,PZ28tBox,True,72,72,0,False
Clash_Score,PZ28tRNA,True,72,72,0,False
Clash_Score,PZ29,True,36,36,0,False
Clash_Score,PZ3,True,12,12,0,False
Clash_Score,PZ30,True,34,34,0,False
Clash_Score,PZ31,True,72,72,0,False
Clash_Score,PZ32,True,106,106,0,False
Clash_Score,PZ33,True,80,80,0,False
Clash_Score,PZ34,True,101,101,0,False
Clash_Score,PZ35,True,51,51,0,False
Clash_Score,PZ36,True,33,33,0,False
