metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.3230297681941175,0.004997742186261592,0.29229345472062107,0.011502677306492418,0.19248113756579716,0.015796754944709973,74
DI_all,False,0.7912567828048391,4.89482793493575e-17,0.9310732957154069,2.9688700139775822e-33,0.7975528364849833,1.0268574826280106e-23,74
INF_all,True,0.6082530642336197,9.018869976941776e-09,0.6242176271753839,2.8091147788693788e-09,0.46162985600373074,7.257463391551617e-09,74
INF_nwc,True,0.3127092138579397,0.022620917164562826,-0.022844099781417444,0.8710199834195994,-0.025004944234290546,0.8067837151111815,53
INF_stacking,True,0.6973840822026312,5.087269829536088e-12,0.700931241011308,3.5701665353263074e-12,0.536678734774884,1.8834359667875324e-11,74
INF_wc,True,0.3873062809800318,0.0006517608825761126,0.5607031001335983,2.0411051607055598e-07,0.4024173377391567,9.877188516036405e-07,74
mcq,False,0.5285634068459959,1.2944381963639532e-06,0.6035265467034999,1.2583595056045075e-08,0.4274048532035664,7.770096094687456e-08,74
P-value,False,0.36402500495700707,0.0014311217528913706,0.8924789280682035,1.3383445942529674e-26,0.7189707554630697,7.987385702302624e-19,74
RMSD,False,0.7944325166769777,2.992800435613802e-17,0.9002976851646154,1.0162158505648548e-27,0.7389692250648869,1.3832850341157884e-20,74
TM-score,True,0.7144093442742048,8.856501523396966e-13,0.6977214741132632,4.91985194089331e-12,0.5325276085474339,2.8065622060268792e-11,74
