metric,orientation,n_targets,total_models,avg_pearson_coef,std_pearson_coef,avg_pearson_pvalue,avg_spearman_coef,std_spearman_coef,avg_spearman_pvalue,avg_kendall_coef,std_kendall_coef,avg_kendall_pvalue,min_pearson,max_pearson,min_spearman,max_spearman,min_kendall,max_kendall
DI_all,False,65,4831,0.660043,0.213449,0.027207,0.753409,0.214513,0.032308,0.601510,0.188639,0.037619,-0.132352,0.929041,-0.086169,0.969748,-0.018490,0.861251
RMSD,False,65,4831,0.678110,0.248082,0.037343,0.696783,0.245098,0.039143,0.551831,0.206503,0.045805,-0.233572,0.951140,-0.073859,0.957670,0.006163,0.839043
P-value,False,65,4831,0.379362,0.213999,0.075432,0.655350,0.250762,0.048449,0.520620,0.211166,0.049427,-0.197407,0.865418,-0.067179,0.954943,-0.045159,0.838402
INF_all,True,65,4831,0.571444,0.248447,0.049262,0.599779,0.233971,0.038917,0.447653,0.187812,0.042527,-0.290661,0.952184,-0.159780,0.931880,-0.103905,0.775408
TM-score,True,65,4831,0.623606,0.290898,0.057396,0.586807,0.255567,0.070207,0.447454,0.213127,0.072193,-0.223998,0.983669,-0.133043,0.970340,-0.110604,0.870931
INF_stacking,True,65,4831,0.550529,0.237065,0.074024,0.555535,0.232785,0.059513,0.407394,0.183032,0.065957,0.010634,0.957997,-0.129477,0.912917,-0.077929,0.743484
INF_wc,True,65,4831,0.515992,0.272261,0.074261,0.511624,0.324274,0.095623,0.390624,0.259960,0.096861,-0.358978,0.942730,-0.408023,0.942501,-0.304642,0.810488
mcq,False,65,4831,0.360943,0.255441,0.074241,0.384704,0.281201,0.118454,0.273880,0.199843,0.111850,-0.372686,0.820731,-0.359964,0.841734,-0.248021,0.634772
INF_nwc,True,65,4831,0.279611,0.341805,0.205582,0.264277,0.302227,0.228800,0.203208,0.234767,0.224166,-0.220258,0.954735,-0.267708,0.812814,-0.220007,0.663720
Clash_Score,False,65,4831,0.213738,0.327892,0.224919,0.148623,0.291214,0.189063,0.101825,0.203538,0.195756,-0.742361,0.800888,-0.441521,0.694427,-0.264880,0.544517
