metric,orientation,n_targets,total_models,avg_pearson_coef,std_pearson_coef,avg_pearson_pvalue,avg_spearman_coef,std_spearman_coef,avg_spearman_pvalue,avg_kendall_coef,std_kendall_coef,avg_kendall_pvalue,min_pearson,max_pearson,min_spearman,max_spearman,min_kendall,max_kendall
lDDT,True,61,4599,0.8021,0.1418,0.0028,0.7864,0.1989,0.0141,0.6389,0.1773,0.0104,0.2925,0.9785,-0.2083,0.9666,-0.1699,0.8641
DI_all,False,61,4599,0.6625,0.2068,0.0227,0.7565,0.2144,0.0331,0.6051,0.1882,0.0388,-0.1333,0.9246,-0.0862,0.9683,-0.0185,0.8562
RMSD,False,61,4599,0.6817,0.2465,0.0346,0.6961,0.2477,0.0407,0.5521,0.2085,0.0479,-0.2347,0.9247,-0.0739,0.957,0.0062,0.839
P-value,False,61,4599,0.3847,0.2142,0.0663,0.6668,0.2475,0.0421,0.5288,0.2093,0.0434,-0.1974,0.8654,-0.0672,0.9549,-0.0452,0.8384
INF_all,True,61,4599,0.5661,0.2443,0.0456,0.6097,0.2367,0.0383,0.457,0.19,0.0421,-0.2808,0.9522,-0.1598,0.9319,-0.1039,0.7754
TM-score,True,61,4599,0.6296,0.2917,0.0594,0.5949,0.2572,0.0705,0.4539,0.2147,0.0719,-0.2235,0.9837,-0.133,0.9703,-0.1106,0.8709
INF_stacking,True,61,4599,0.5431,0.2385,0.0819,0.5632,0.2401,0.0671,0.4151,0.1885,0.0743,0.0107,0.958,-0.1295,0.9129,-0.0779,0.7435
INF_wc,True,61,4599,0.5148,0.2665,0.0634,0.5186,0.3209,0.0906,0.3961,0.2564,0.0903,-0.359,0.9427,-0.408,0.9425,-0.3046,0.8105
mcq,False,61,4599,0.3526,0.2511,0.0721,0.3783,0.2774,0.112,0.269,0.1962,0.1068,-0.3727,0.8236,-0.36,0.8417,-0.248,0.6198
INF_nwc,True,61,4599,0.2529,0.3213,0.1965,0.2494,0.2955,0.2339,0.1911,0.2266,0.2301,-0.2237,0.9298,-0.2677,0.8128,-0.22,0.6512
Clash_Score,False,61,4599,0.1839,0.3163,0.2459,0.1325,0.2835,0.1899,0.0893,0.1958,0.1959,-0.7424,0.7993,-0.4415,0.6308,-0.2649,0.444
