metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.31685958255999336,0.005948912877014694,0.28671106226583387,0.01326307965238527,0.19232288253075336,0.015991898937498077,74
DI_all,False,0.7502550541700326,1.4244251843292746e-14,0.9108211395922008,2.2104754195872904e-29,0.7571483707049979,1.777894906232162e-21,74
INF_all,True,0.6302455044898286,1.7772468253154774e-09,0.5528394722257433,3.2654767142931525e-07,0.41060390703244515,3.1528649430297754e-07,74
INF_nwc,True,0.10304800060073618,0.3994580608730072,0.04032087736392861,0.7421969733817486,0.024070058039044613,0.7867086023346094,69
INF_stacking,True,0.7421959096668839,3.8239148809307364e-14,0.6054283556883199,1.1012469175461299e-08,0.4512977714318589,2.0672634223364036e-08,74
INF_wc,True,0.38007493520637836,0.0008373161858194514,0.5688222533492262,1.240361354372358e-07,0.41322155121317405,5.165456871364562e-07,74
mcq,False,0.5122201618434906,3.0853869134987724e-06,0.5779328023879974,6.978976956486516e-08,0.3920551159690487,8.267310484541236e-07,74
P-value,False,0.34489202108855876,0.0026186925996079225,0.8843435780661144,1.5973440086395187e-25,0.7110518163180032,1.3737930326940485e-18,74
RMSD,False,0.8383764301384361,1.179473862162673e-20,0.8841869835374614,1.6723523130944865e-25,0.7148430366706674,2.6868046973251096e-19,74
TM-score,True,0.7598796589915078,4.165370004124434e-15,0.689536748544965,1.0938433218590713e-11,0.5278832747057398,4.353965638703894e-11,74
