metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.8352464585145992,1.1088317665650623e-07,0.6912809945304201,9.209952221598865e-05,0.47341238803026753,0.0008422145047648323,26
DI_all,False,0.42880925645544404,0.028829301122885752,0.5019661553958669,0.008977065721581143,0.3451467887623648,0.01353952362888641,26
INF_all,True,0.5283940470126895,0.00552222804646555,0.4262241207215137,0.029915231597178626,0.2550621438798892,0.07017577063612308,26
INF_nwc,True,-0.02991944359713862,0.9061864653913405,-0.24479413012488557,0.3275715704226816,-0.26927948612472746,0.1339298730586275,18
INF_stacking,True,0.5901281707909827,0.0015069117860442246,0.5281340935800969,0.005549725332932988,0.3523960932472829,0.011917893584033236,26
INF_wc,True,0.1740849795990403,0.39503132356183274,0.08670340467441268,0.6736426895306943,0.05956844617599393,0.6743765970512341,26
mcq,False,0.026921396997039847,0.8961354039898339,0.27457685475673094,0.1746300313975756,0.1725733943811824,0.21696943461706542,26
P-value,False,0.250128558472997,0.21780359738132019,0.5473289861882231,0.0038051027953893233,0.45423878751815383,0.004315838952050351,26
RMSD,False,0.27421343120760083,0.17522430079278603,0.4958112570327023,0.009999407961322941,0.3574734597895921,0.010544538206314123,26
TM-score,True,0.5609855800532584,0.0028693729810795724,0.593017502763938,0.0014090252485767709,0.43168534565620936,0.002149652307305444,26
