metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,-0.15021624377529888,0.06383001905701356,-0.3318219452612423,2.788377545559523e-05,-0.24610101746852842,2.7727444002999603e-05,153
DI_all,False,0.7705965956485156,2.4060563887071406e-31,0.8983610072719945,8.095841631018249e-56,0.7537941573084198,4.876013312082963e-40,153
INF_all,True,0.3259984323473607,3.918696329946948e-05,0.47011734350178264,8.723246322798651e-10,0.3386613762705292,3.0056946972669295e-09,153
INF_nwc,True,0.3938128177670237,0.00011242080544619037,0.6587943765153133,1.2625368136366822e-12,0.555808547031424,2.784715989420657e-10,91
INF_stacking,True,0.04251108742369539,0.6018396592045335,0.21631639979901046,0.007239590366006854,0.14297415938778532,0.012537470004322534,153
INF_wc,True,0.49546257553519846,3.150096257995108e-10,0.5285596762234188,1.1599697471692974e-11,0.4162864141739768,6.326533298257354e-12,143
mcq,False,0.02354350498621656,0.7726816998418161,0.08578987360748405,0.2916975159235679,0.05528204132661387,0.33155576242911255,153
P-value,False,0.8258578274600284,2.1014444979912265e-39,0.9485593023290083,2.578686184777321e-77,0.8384015854472886,5.862316071533876e-49,153
RMSD,False,0.8768711626304733,6.829876874817622e-50,0.9488035417459071,1.8169566627915456e-77,0.8390425166474039,3.560095227917498e-49,153
TM-score,True,0.5946960020906367,5.272702961598374e-16,0.5991368331210016,2.810929616973365e-16,0.4442752912451576,6.413706673511543e-15,153
