metric,orientation,pearson_coef,pearson_pvalue,spearman_coef,spearman_pvalue,kendall_coef,kendall_pvalue,n_models
Clash_Score,False,0.7171299375472255,8.709006867674667e-12,0.3181440102677561,0.008698958889036807,0.20797866957403244,0.014252925631388084,67
DI_all,False,0.7598195967369177,8.987979152057876e-14,0.8308668719366106,3.351171742129885e-18,0.6365291133121493,3.354910510598203e-14,67
INF_all,True,0.8115667217318868,8.1391288348936e-17,0.6787651949052936,2.746064765441169e-10,0.4868173283392176,9.671903354925952e-09,67
INF_nwc,True,0.9042750172623261,1.0247440516722188e-25,0.7221095027819059,5.337233510775874e-12,0.553593617281069,4.684196274090311e-10,67
INF_stacking,True,0.8186246042949359,2.6487388719501823e-17,0.7199921065050031,6.581069955433957e-12,0.5209161629327409,6.636456422051364e-10,67
INF_wc,True,0.7335569591916717,1.6619158318123692e-12,0.36261173705800936,0.002564687590719446,0.2181049194779913,0.010989383857949276,67
mcq,False,0.6653573766006686,8.14370752276506e-10,0.6585037288167422,1.3898995184535741e-09,0.46227315707234995,3.6845235175001085e-08,67
P-value,False,0.5714431638488942,4.408869308470017e-07,0.7282929685308933,2.8627520385770676e-12,0.5694753812265501,3.1650101181999046e-09,67
RMSD,False,0.9001388104649223,3.7924098170751808e-25,0.8335013132686859,2.1018100593772056e-18,0.6401638263075078,2.400207758343815e-14,67
TM-score,True,0.9836686017477652,3.90619030889574e-50,0.9467349492050336,1.0682820803524987e-33,0.8028273938459713,1.3589338181550335e-21,67
lDDT,True,0.9632126805005092,8.245486774116207e-39,0.8806955175126961,8.991392690931717e-23,0.7111988287914387,2.990032413696707e-17,67
