Lab,Num,INF all
TS128,5,0.728
TS128,1,0.800
TS232,3,0.870
TS287,1,0.848
TS119,3,0.848
TS076,4,0.826
TS119,2,0.820
TS110,1,0.795
TS110,4,0.754
TS439,2,0.677
TS392,5,0.713
TS119,4,0.818
TS392,3,0.784
TS035,3,0.809
TS248,3,0.834
TS470,3,0.732
TS489,3,0.732
TS035,5,0.828
TS248,4,0.828
TS470,5,0.752
TS489,5,0.752
TS470,1,0.719
TS489,1,0.719
TS054,3,0.864
TS470,4,0.791
TS489,4,0.791
TS470,2,0.738
TS489,2,0.738
TS035,2,0.807
TS248,2,0.807
TS054,2,0.815
TS229,1,0.668
TS239,1,0.668
TS439,4,0.668
TS434,3,0.714
TS125,3,0.807
TS081,4,0.795
TS128,2,0.828
TS110,5,0.745
TS229,4,0.678
TS416,1,0.785
TS227,3,0.728
TS119,5,0.774
TS229,3,0.657
TS239,5,0.657
TS147,2,0.698
TS229,2,0.597
TS439,1,0.597
TS035,1,0.831
TS248,1,0.831
TS185,1,0.720
TS076,1,0.785
TS235,5,0.726
TS235,3,0.648
TS185,3,0.717
TS235,2,0.685
TS238,2,0.517
TS054,4,0.654
TS125,4,0.654
TS416,5,0.654
TS035,4,0.854
TS235,1,0.716
TS245,2,0.558
TS232,4,0.826
TS434,1,0.717
TS229,5,0.699
TS239,3,0.699
TS054,5,0.821
TS439,5,0.583
TS147,4,0.704
TS076,2,0.817
TS416,4,0.787
TS287,5,0.817
TS227,2,0.677
TS081,3,0.790
TS185,4,0.679
TS434,5,0.710
TS238,4,0.506
TS238,1,0.592
TS232,5,0.818
TS235,4,0.698
TS392,1,0.808
TS238,3,0.571
TS416,3,0.812
TS238,5,0.577
TS125,5,0.853
TS287,2,0.842
TS185,2,0.663
TS177,1,0.469
TS227,4,0.693
TS081,2,0.812
TS128,4,0.731
TS081,1,0.825
TS439,3,0.709
TS147,5,0.744
TS110,3,0.797
TS227,5,0.679
TS392,2,0.804
TS081,5,0.827
TS392,4,0.736
TS185,5,0.549
TS287,4,0.842
TS434,2,0.685
TS147,3,0.723
TS029,1,0.387
TS029,4,0.305
TS239,2,0.630
TS147,1,0.681
TS245,1,0.577
TS385,1,0.577
TS232,1,0.847
TS245,4,0.535
TS054,1,0.834
TS287,3,0.786
TS119,1,0.845
TS232,2,0.844
TS125,2,0.721
TS076,3,0.738
TS110,2,0.810
TS076,5,0.821
TS128,3,0.841
TS239,4,0.718
TS125,1,0.651
TS416,2,0.651
TS029,3,0.486
TS227,1,0.690
TS029,2,0.236
TS245,5,0.591
TS245,3,0.582
TS248,5,0.432
TS434,4,0.706
TS097,3,0.283
TS097,2,0.218
TS029,5,0.470
TS097,1,0.272
TS131,2,0.505
TS131,5,0.476
TS131,4,0.504
TS131,3,0.633
TS131,1,0.602
TS091,1,0.550
TS091,2,0.515
TS091,3,0.555
TS091,4,0.594
TS091,5,0.579
