Lab,Num,TM-score
TS128,5,0.6640
TS128,1,0.4470
TS232,3,0.4310
TS287,1,0.4350
TS119,3,0.3790
TS076,4,0.3880
TS119,2,0.3720
TS110,1,0.4120
TS110,4,0.3650
TS439,2,0.3680
TS392,5,0.2630
TS119,4,0.3150
TS392,3,0.2980
TS035,3,0.3140
TS248,3,0.3320
TS470,3,0.3080
TS489,3,0.3080
TS035,5,0.2900
TS248,4,0.2900
TS470,5,0.3060
TS489,5,0.3060
TS470,1,0.3060
TS489,1,0.3060
TS054,3,0.2990
TS470,4,0.3030
TS489,4,0.3030
TS470,2,0.3040
TS489,2,0.3040
TS035,2,0.2840
TS248,2,0.2840
TS054,2,0.3390
TS229,1,0.3530
TS239,1,0.3530
TS439,4,0.3530
TS434,3,0.3770
TS125,3,0.3030
TS081,4,0.3440
TS128,2,0.3310
TS110,5,0.2960
TS229,4,0.3410
TS416,1,0.2960
TS227,3,0.3570
TS119,5,0.2920
TS229,3,0.3110
TS239,5,0.3110
TS147,2,0.3110
TS229,2,0.2620
TS439,1,0.2620
TS035,1,0.3270
TS248,1,0.3270
TS185,1,0.2630
TS076,1,0.2950
TS235,5,0.2650
TS235,3,0.3420
TS185,3,0.2400
TS235,2,0.3050
TS238,2,0.2870
TS054,4,0.3200
TS125,4,0.3200
TS416,5,0.3200
TS035,4,0.2930
TS235,1,0.3380
TS245,2,0.2500
TS232,4,0.2950
TS434,1,0.2990
TS229,5,0.3240
TS239,3,0.3240
TS054,5,0.3330
TS439,5,0.3060
TS147,4,0.2830
TS076,2,0.2780
TS416,4,0.3130
TS287,5,0.2990
TS227,2,0.2670
TS081,3,0.2550
TS185,4,0.2280
TS434,5,0.2510
TS238,4,0.2850
TS238,1,0.3150
TS232,5,0.3040
TS235,4,0.2750
TS392,1,0.2460
TS238,3,0.2930
TS416,3,0.3240
TS238,5,0.2840
TS125,5,0.2560
TS287,2,0.3170
TS185,2,0.2250
TS177,1,0.1910
TS227,4,0.3460
TS081,2,0.2890
TS128,4,0.2870
TS081,1,0.2690
TS439,3,0.3190
TS147,5,0.2460
TS110,3,0.3580
TS227,5,0.2680
TS392,2,0.3340
TS081,5,0.2110
TS392,4,0.2700
TS185,5,0.3150
TS287,4,0.2400
TS434,2,0.3050
TS147,3,0.2590
TS029,1,0.2990
TS029,4,0.2650
TS239,2,0.3030
TS147,1,0.2940
TS245,1,0.1920
TS385,1,0.1920
TS232,1,0.3050
TS245,4,0.2580
TS054,1,0.2780
TS287,3,0.2990
TS119,1,0.3120
TS232,2,0.3050
TS125,2,0.3090
TS076,3,0.3020
TS110,2,0.3560
TS076,5,0.3030
TS128,3,0.2440
TS239,4,0.2520
TS125,1,0.2820
TS416,2,0.2820
TS029,3,0.2120
TS227,1,0.3210
TS029,2,0.1890
TS245,5,0.1850
TS245,3,0.1690
TS248,5,0.2450
TS434,4,0.3020
TS097,3,0.1790
TS097,2,0.1390
TS029,5,0.2030
TS097,1,0.1470
TS131,2,0.1410
TS131,5,0.2090
TS131,4,0.2320
TS131,3,0.2050
TS131,1,0.1820
TS091,1,0.1440
TS091,2,0.1310
TS091,3,0.1240
TS091,4,0.1390
TS091,5,0.1180
