Lab,Num,INF wc
TS287,4,0.845
TS287,2,1.000
TS287,3,0.926
TS232,1,1.000
TS128,1,1.000
TS287,1,1.000
TS232,3,1.000
TS232,2,1.000
TS128,3,1.000
TS232,4,1.000
TS238,1,0.882
TS229,1,0.926
TS081,1,1.000
TS232,5,1.000
TS239,1,0.535
TS439,5,0.535
TS444,1,0.535
TS287,5,0.926
TS416,1,0.935
TS229,2,0.535
TS444,2,0.535
TS128,4,1.000
TS416,3,0.926
TS439,2,0.845
TS128,2,0.772
TS081,2,1.000
TS416,5,1.000
TS416,2,0.857
TS470,1,0.926
TS489,1,0.926
TS081,3,1.000
TS110,1,0.845
TS416,4,1.000
TS110,2,0.772
TS081,4,0.926
TS110,3,0.926
TS238,2,0.926
TS185,5,0.926
TS128,5,0.571
TS439,3,0.429
TS229,4,0.535
TS163,1,0.378
TS163,2,0.378
TS110,5,0.338
TS185,2,1.000
TS185,1,0.845
TS110,4,0.463
TS054,1,-
TS125,3,-
TS185,4,0.857
TS235,3,1.000
TS125,2,0.378
TS185,3,1.000
TS444,3,0.378
TS235,2,0.926
TS054,3,0.507
TS235,4,0.926
TS029,1,0.676
TS239,3,0.000
TS444,5,0.000
TS054,4,0.630
TS054,5,0.935
TS470,5,0.845
TS489,5,0.845
TS035,5,0.756
TS046,5,0.756
TS248,3,0.567
TS444,4,0.845
TS470,3,0.845
TS470,4,0.845
TS489,3,0.845
TS489,4,0.845
TS081,5,0.935
TS119,2,1.000
TS163,3,0.000
TS235,5,0.286
TS163,5,0.655
TS229,5,0.655
TS439,1,0.338
TS248,2,0.567
TS035,3,0.567
TS046,3,0.567
TS119,4,0.935
TS392,5,0.802
TS248,1,0.567
TS035,4,0.756
TS046,4,0.756
TS248,4,0.756
TS035,2,0.567
TS046,2,0.567
TS054,2,1.000
TS248,5,0.567
TS035,1,0.655
TS046,1,0.655
TS392,4,0.802
TS229,3,0.756
TS239,2,0.756
TS392,3,0.714
TS235,1,0.429
TS392,2,0.845
TS392,1,0.845
TS125,1,0.378
TS125,4,0.845
TS029,2,0.189
TS119,1,0.935
TS119,5,0.882
TS119,3,1.000
TS439,4,-
TS147,3,0.617
TS434,3,0.617
TS227,5,0.617
TS076,5,0.617
TS125,5,0.535
TS434,1,0.676
TS227,2,0.617
TS147,2,0.617
TS177,1,0.535
TS227,1,0.617
TS434,4,0.617
TS147,5,0.617
TS434,2,0.617
TS227,3,0.571
TS076,3,0.309
TS076,4,0.267
TS076,1,0.143
TS076,2,0.154
TS147,4,0.676
TS097,1,0.571
TS147,1,0.617
TS245,3,0.189
TS385,3,0.189
TS245,4,0.218
TS385,4,0.218
TS131,3,0.000
TS470,2,0.507
TS489,2,0.507
TS245,5,0.000
TS385,5,0.000
TS245,2,0.378
TS385,2,0.378
TS245,1,0.218
TS385,1,0.218
TS131,5,0.000
TS131,2,0.000
TS091,5,-
TS239,4,0.338
TS163,4,0.000
TS131,1,-
TS131,4,-
TS091,4,-
TS091,3,-
TS091,2,-
TS091,1,-
