Lab,Num,P-value
TS287,4,1.18e-09
TS287,2,2.71e-09
TS287,3,2.83e-09
TS232,1,2.90e-09
TS128,1,4.93e-09
TS287,1,5.48e-09
TS232,3,5.58e-09
TS232,2,6.40e-09
TS128,3,7.64e-09
TS232,4,9.74e-09
TS238,1,1.06e-08
TS229,1,1.16e-08
TS081,1,1.34e-08
TS232,5,1.37e-08
TS239,1,1.39e-08
TS439,5,1.39e-08
TS444,1,1.39e-08
TS287,5,1.72e-08
TS416,1,2.05e-08
TS229,2,2.63e-08
TS444,2,2.63e-08
TS128,4,2.94e-08
TS416,3,3.09e-08
TS439,2,3.73e-08
TS128,2,4.51e-08
TS081,2,4.86e-08
TS416,5,5.28e-08
TS416,2,5.36e-08
TS470,1,7.70e-08
TS489,1,7.70e-08
TS081,3,8.54e-08
TS110,1,1.00e-07
TS416,4,1.17e-07
TS110,2,1.26e-07
TS081,4,1.53e-07
TS110,3,1.55e-07
TS238,2,2.30e-07
TS185,5,2.69e-07
TS128,5,3.12e-07
TS439,3,3.14e-07
TS229,4,3.15e-07
TS163,1,3.65e-07
TS163,2,3.65e-07
TS110,5,4.58e-07
TS185,2,4.72e-07
TS185,1,5.97e-07
TS110,4,6.00e-07
TS054,1,6.20e-07
TS125,3,6.20e-07
TS185,4,7.08e-07
TS235,3,7.26e-07
TS125,2,7.46e-07
TS185,3,7.45e-07
TS444,3,7.46e-07
TS235,2,7.65e-07
TS054,3,9.56e-07
TS235,4,1.04e-06
TS029,1,1.07e-06
TS239,3,1.19e-06
TS444,5,1.19e-06
TS054,4,1.21e-06
TS054,5,1.58e-06
TS470,5,1.72e-06
TS489,5,1.72e-06
TS035,5,1.72e-06
TS046,5,1.72e-06
TS248,3,1.82e-06
TS444,4,1.87e-06
TS470,3,1.87e-06
TS470,4,1.87e-06
TS489,3,1.87e-06
TS489,4,1.87e-06
TS081,5,1.93e-06
TS119,2,1.95e-06
TS163,3,1.95e-06
TS235,5,2.25e-06
TS163,5,2.65e-06
TS229,5,2.65e-06
TS439,1,2.89e-06
TS248,2,3.03e-06
TS035,3,3.11e-06
TS046,3,3.11e-06
TS119,4,3.52e-06
TS392,5,3.86e-06
TS248,1,4.48e-06
TS035,4,4.66e-06
TS046,4,4.66e-06
TS248,4,4.68e-06
TS035,2,4.96e-06
TS046,2,4.96e-06
TS054,2,5.06e-06
TS248,5,6.04e-06
TS035,1,6.85e-06
TS046,1,6.85e-06
TS392,4,8.82e-06
TS229,3,8.91e-06
TS239,2,8.91e-06
TS392,3,1.30e-05
TS235,1,2.30e-05
TS392,2,3.01e-05
TS392,1,3.78e-05
TS125,1,8.34e-05
TS125,4,4.24e-04
TS029,2,1.20e-02
TS119,1,2.97e-02
TS119,5,3.22e-02
TS119,3,5.63e-02
TS439,4,1.00e-01
TS147,3,3.19e-01
TS434,3,3.30e-01
TS227,5,3.90e-01
TS076,5,3.99e-01
TS125,5,4.38e-01
TS434,1,4.66e-01
TS227,2,4.79e-01
TS147,2,4.93e-01
TS177,1,5.01e-01
TS227,1,5.11e-01
TS434,4,5.11e-01
TS147,5,5.20e-01
TS434,2,5.23e-01
TS227,3,5.35e-01
TS076,3,5.86e-01
TS076,4,6.21e-01
TS076,1,6.71e-01
TS076,2,6.92e-01
TS147,4,7.04e-01
TS097,1,7.07e-01
TS147,1,7.07e-01
TS245,3,7.89e-01
TS385,3,7.89e-01
TS245,4,8.08e-01
TS385,4,8.08e-01
TS131,3,8.27e-01
TS470,2,8.44e-01
TS489,2,8.44e-01
TS245,5,8.49e-01
TS385,5,8.49e-01
TS245,2,8.52e-01
TS385,2,8.52e-01
TS245,1,8.79e-01
TS385,1,8.79e-01
TS131,5,8.89e-01
TS131,2,9.12e-01
TS091,5,1.00e+00
TS239,4,1.00e+00
TS163,4,1.00e+00
TS131,1,1.00e+00
TS131,4,1.00e+00
TS091,4,1.00e+00
TS091,3,1.00e+00
TS091,2,1.00e+00
TS091,1,1.00e+00
