Lab,Num,INF all
TS287,4,0.756
TS287,2,0.807
TS287,3,0.741
TS232,1,0.778
TS128,1,0.852
TS287,1,0.821
TS232,3,0.778
TS232,2,0.750
TS128,3,0.852
TS232,4,0.828
TS238,1,0.605
TS229,1,0.630
TS081,1,0.764
TS232,5,0.778
TS239,1,0.507
TS439,5,0.507
TS444,1,0.507
TS287,5,0.815
TS416,1,0.713
TS229,2,0.567
TS444,2,0.567
TS128,4,0.737
TS416,3,0.630
TS439,2,0.680
TS128,2,0.643
TS081,2,0.806
TS416,5,0.747
TS416,2,0.725
TS470,1,0.788
TS489,1,0.788
TS081,3,0.709
TS110,1,0.619
TS416,4,0.714
TS110,2,0.645
TS081,4,0.725
TS110,3,0.630
TS238,2,0.552
TS185,5,0.667
TS128,5,0.667
TS439,3,0.587
TS229,4,0.439
TS163,1,0.419
TS163,2,0.419
TS110,5,0.536
TS185,2,0.727
TS185,1,0.655
TS110,4,0.507
TS054,1,0.477
TS125,3,0.477
TS185,4,0.702
TS235,3,0.667
TS125,2,0.564
TS185,3,0.704
TS444,3,0.564
TS235,2,0.582
TS054,3,0.567
TS235,4,0.679
TS029,1,0.556
TS239,3,0.390
TS444,5,0.390
TS054,4,0.630
TS054,5,0.680
TS470,5,0.540
TS489,5,0.540
TS035,5,0.472
TS046,5,0.472
TS248,3,0.423
TS444,4,0.436
TS470,3,0.436
TS470,4,0.436
TS489,3,0.436
TS489,4,0.436
TS081,5,0.656
TS119,2,0.679
TS163,3,0.229
TS235,5,0.526
TS163,5,0.495
TS229,5,0.495
TS439,1,0.591
TS248,2,0.495
TS035,3,0.423
TS046,3,0.423
TS119,4,0.794
TS392,5,0.601
TS248,1,0.536
TS035,4,0.549
TS046,4,0.549
TS248,4,0.549
TS035,2,0.465
TS046,2,0.465
TS054,2,0.691
TS248,5,0.495
TS035,1,0.455
TS046,1,0.455
TS392,4,0.601
TS229,3,0.501
TS239,2,0.501
TS392,3,0.546
TS235,1,0.587
TS392,2,0.676
TS392,1,0.656
TS125,1,0.529
TS125,4,0.597
TS029,2,0.254
TS119,1,0.679
TS119,5,0.691
TS119,3,0.667
TS439,4,0.439
TS147,3,0.655
TS434,3,0.632
TS227,5,0.571
TS076,5,0.645
TS125,5,0.617
TS434,1,0.704
TS227,2,0.577
TS147,2,0.605
TS177,1,0.607
TS227,1,0.593
TS434,4,0.593
TS147,5,0.540
TS434,2,0.630
TS227,3,0.501
TS076,3,0.568
TS076,4,0.493
TS076,1,0.501
TS076,2,0.491
TS147,4,0.536
TS097,1,0.413
TS147,1,0.579
TS245,3,0.482
TS385,3,0.482
TS245,4,0.529
TS385,4,0.529
TS131,3,0.434
TS470,2,0.463
TS489,2,0.463
TS245,5,0.501
TS385,5,0.501
TS245,2,0.509
TS385,2,0.509
TS245,1,0.463
TS385,1,0.463
TS131,5,0.421
TS131,2,0.491
TS091,5,0.419
TS239,4,0.571
TS163,4,0.303
TS131,1,0.465
TS131,4,0.473
TS091,4,0.334
TS091,3,0.378
TS091,2,0.418
TS091,1,0.357
