Lab,Num,INF all
TS232,4,0.894
TS232,3,0.897
TS232,5,0.892
TS081,4,0.894
TS081,2,0.878
TS081,3,0.878
TS081,5,0.889
TS081,1,0.868
TS287,1,0.891
TS287,3,0.884
TS232,2,0.856
TS232,1,0.858
TS287,4,0.790
TS128,2,0.826
TS128,1,0.790
TS119,3,0.811
TS128,4,0.815
TS287,2,0.784
TS238,1,0.020
TS054,2,0.838
TS287,5,0.788
TS076,1,0.846
TS125,5,0.846
TS416,5,0.846
TS439,1,0.846
TS125,2,0.787
TS439,2,0.787
TS119,2,0.787
TS054,3,0.792
TS054,1,0.808
TS076,2,0.789
TS125,1,0.789
TS416,1,0.789
TS439,3,0.789
TS229,5,0.683
TS239,3,0.683
TS439,5,0.683
TS076,3,0.754
TS128,5,0.771
TS229,3,0.623
TS239,2,0.623
TS416,2,0.623
TS238,2,0.014
TS227,4,0.785
TS245,5,0.574
TS125,3,0.793
TS416,3,0.793
TS245,4,0.521
TS147,5,0.775
TS119,1,0.667
TS392,5,0.760
TS229,2,0.026
TS054,5,0.847
TS238,3,0.009
TS076,5,0.740
TS229,4,0.740
TS239,4,0.740
TS416,4,0.740
TS439,4,0.740
TS227,1,0.816
TS185,3,0.649
TS054,4,0.790
TS239,5,0.638
TS489,3,0.416
TS227,2,0.754
TS489,1,0.554
TS434,1,0.812
TS470,5,0.474
TS434,3,0.827
TS229,1,0.055
TS239,1,0.055
TS147,3,0.765
TS470,3,0.425
TS227,3,0.803
TS470,4,0.403
TS470,1,0.538
TS245,1,0.511
TS385,1,0.511
TS434,5,0.800
TS470,2,0.371
TS489,5,0.500
TS489,4,0.417
TS489,2,0.388
TS119,5,0.840
TS227,5,0.796
TS238,4,0.007
TS147,2,0.809
TS128,3,0.838
TS125,4,0.837
TS392,2,0.730
TS076,4,0.781
TS185,4,0.645
TS147,1,0.807
TS434,2,0.819
TS119,4,0.838
TS029,1,0.353
TS029,2,0.353
TS185,2,0.679
TS434,4,0.818
TS147,4,0.828
TS185,1,0.619
TS392,4,0.740
TS185,5,0.508
TS245,3,0.574
TS245,2,0.590
TS035,5,0.745
TS248,5,0.745
TS035,1,0.738
TS248,1,0.738
TS235,1,0.620
TS035,4,0.745
TS248,4,0.745
TS235,2,0.623
TS035,2,0.746
TS248,2,0.746
TS392,3,0.734
TS035,3,0.755
TS248,3,0.755
TS097,5,0.292
TS097,3,0.305
TS097,4,0.294
TS097,2,0.318
TS097,1,0.317
TS392,1,0.614
TS177,1,0.406
TS131,3,0.620
TS131,1,0.619
TS131,2,0.613
TS131,4,0.614
TS131,5,0.617
