Lab,Num,INF wc
TS232,4,0.946
TS232,3,0.946
TS232,5,0.946
TS081,4,0.946
TS081,2,0.946
TS081,3,0.944
TS081,5,0.944
TS081,1,0.946
TS287,1,0.942
TS287,3,0.926
TS232,2,0.950
TS232,1,0.950
TS287,4,0.615
TS128,2,0.889
TS128,1,0.893
TS119,3,0.945
TS128,4,0.904
TS287,2,0.755
TS238,1,0.000
TS054,2,0.880
TS287,5,0.615
TS076,1,0.882
TS125,5,0.882
TS416,5,0.882
TS439,1,0.882
TS125,2,0.900
TS439,2,0.900
TS119,2,0.899
TS054,3,0.914
TS054,1,0.926
TS076,2,0.894
TS125,1,0.894
TS416,1,0.894
TS439,3,0.894
TS229,5,0.577
TS239,3,0.577
TS439,5,0.577
TS076,3,0.809
TS128,5,0.847
TS229,3,0.480
TS239,2,0.480
TS416,2,0.480
TS238,2,0.010
TS227,4,0.878
TS245,5,0.220
TS125,3,0.896
TS416,3,0.896
TS245,4,0.296
TS147,5,0.883
TS119,1,0.629
TS392,5,0.756
TS229,2,0.000
TS054,5,0.926
TS238,3,0.000
TS076,5,0.666
TS229,4,0.666
TS239,4,0.666
TS416,4,0.666
TS439,4,0.666
TS227,1,0.863
TS185,3,0.561
TS054,4,0.903
TS239,5,0.494
TS489,3,0.458
TS227,2,0.873
TS489,1,0.587
TS434,1,0.866
TS470,5,0.532
TS434,3,0.871
TS229,1,0.022
TS239,1,0.022
TS147,3,0.883
TS470,3,0.379
TS227,3,0.857
TS470,4,0.389
TS470,1,0.542
TS245,1,0.223
TS385,1,0.223
TS434,5,0.853
TS470,2,0.349
TS489,5,0.526
TS489,4,0.427
TS489,2,0.386
TS119,5,0.873
TS227,5,0.847
TS238,4,0.009
TS147,2,0.871
TS128,3,0.875
TS125,4,0.873
TS392,2,0.725
TS076,4,0.791
TS185,4,0.575
TS147,1,0.850
TS434,2,0.884
TS119,4,0.880
TS029,1,0.044
TS029,2,0.044
TS185,2,0.597
TS434,4,0.866
TS147,4,0.879
TS185,1,0.594
TS392,4,0.717
TS185,5,0.000
TS245,3,0.259
TS245,2,0.242
TS035,5,0.794
TS248,5,0.794
TS035,1,0.776
TS248,1,0.776
TS235,1,0.838
TS035,4,0.804
TS248,4,0.804
TS235,2,0.832
TS035,2,0.796
TS248,2,0.796
TS392,3,0.684
TS035,3,0.812
TS248,3,0.812
TS097,5,0.189
TS097,3,0.153
TS097,4,0.140
TS097,2,0.169
TS097,1,0.189
TS392,1,0.435
TS177,1,0.072
TS131,3,-
TS131,1,-
TS131,2,-
TS131,4,0.000
TS131,5,-
