Lab,Num,INF nwc
TFN,3,0.289
FARFAR2,3,0.289
Adamiak,2,0.500
Das,3,0.289
Das,1,0.289
Das,5,0.354
TFN,6,0.354
RNAComposer,1,0.500
TFN,4,0.354
Das,2,0.289
FARFAR2,6,0.289
TFN,5,0.289
Das,6,0.289
FARFAR2,5,0.354
Das,10,0.354
FARFAR2,8,0.354
Adamiak,5,0.000
SimRNA,5,0.000
FARFAR2,2,0.354
Ding,2,-
TFN,7,0.289
FARFAR2,4,0.289
RNAComposer,5,0.354
TFN,8,0.289
Adamiak,3,0.500
Bujnicki,2,0.000
iFoldRNA,5,0.000
TFN,9,0.289
Das,7,0.289
Ding,1,-
FARFAR2,7,0.289
iFoldRNA,4,-
Das,8,0.354
SimRNA,3,0.000
Bujnicki,1,0.000
iFoldRNA,3,0.000
SimRNA,2,0.000
TFN,10,0.354
Das,4,0.289
Bujnicki,4,0.000
FARFAR2,9,0.250
Das,9,0.354
Adamiak,4,0.500
FARFAR2,1,0.289
SimRNA,1,0.000
Bujnicki,3,-
Xiao,5,-
SimRNA,4,-
FARFAR2,10,0.354
TFN,2,0.289
Bujnicki,5,0.000
iFoldRNA,2,-
RNAComposer,2,0.500
iFoldRNA,1,-
Adamiak,1,0.500
Chen,9,0.894
TFN,1,0.354
Chen,6,0.894
Chen,7,0.894
Chen,1,0.577
Chen,10,0.750
Xiao,2,0.000
RNAComposer,4,0.000
Chen,3,0.671
Chen,8,0.894
Xiao,4,0.000
Xiao,1,0.000
Chen,2,0.894
Chen,5,0.750
Chen,4,0.894
RNAComposer,3,0.354
Xiao,3,-
