Lab,Num,Clash Score
TFN,3,5.040
FARFAR2,3,4.410
Adamiak,2,10.390
Das,3,7.240
Das,1,4.090
Das,5,4.090
TFN,6,5.670
RNAComposer,1,6.920
TFN,4,6.610
Das,2,3.460
FARFAR2,6,3.460
TFN,5,5.350
Das,6,4.720
FARFAR2,5,3.460
Das,10,3.460
FARFAR2,8,3.460
Adamiak,5,8.500
SimRNA,5,148.980
FARFAR2,2,4.090
Ding,2,14.790
TFN,7,7.240
FARFAR2,4,3.780
RNAComposer,5,9.130
TFN,8,4.720
Adamiak,3,6.920
Bujnicki,2,7.870
iFoldRNA,5,141.370
TFN,9,2.830
Das,7,2.830
Ding,1,11.330
FARFAR2,7,2.520
iFoldRNA,4,166.720
Das,8,7.240
SimRNA,3,133.840
Bujnicki,1,13.530
iFoldRNA,3,155.790
SimRNA,2,152.630
TFN,10,3.460
Das,4,5.350
Bujnicki,4,6.920
FARFAR2,9,4.410
Das,9,5.670
Adamiak,4,10.070
FARFAR2,1,3.780
SimRNA,1,147.480
Bujnicki,3,9.760
Xiao,5,0.940
SimRNA,4,123.940
FARFAR2,10,2.520
TFN,2,4.720
Bujnicki,5,26.750
iFoldRNA,2,142.000
RNAComposer,2,9.440
iFoldRNA,1,97.950
Adamiak,1,9.440
Chen,9,2.200
TFN,1,6.610
Chen,6,3.780
Chen,7,2.520
Chen,1,7.240
Chen,10,3.780
Xiao,2,1.890
RNAComposer,4,10.070
Chen,3,7.550
Chen,8,5.980
Xiao,4,2.520
Xiao,1,0.630
Chen,2,6.300
Chen,5,2.520
Chen,4,1.260
RNAComposer,3,8.500
Xiao,3,2.200
