Lab,Num,TM-score
TFN,3,0.2600
FARFAR2,3,0.2520
Adamiak,2,0.2640
Das,3,0.2600
Das,1,0.2270
Das,5,0.2290
TFN,6,0.2430
RNAComposer,1,0.2640
TFN,4,0.2460
Das,2,0.2350
FARFAR2,6,0.2350
TFN,5,0.2450
Das,6,0.2410
FARFAR2,5,0.3000
Das,10,0.2380
FARFAR2,8,0.2380
Adamiak,5,0.2380
SimRNA,5,0.2470
FARFAR2,2,0.2430
Ding,2,0.1980
TFN,7,0.2460
FARFAR2,4,0.2410
RNAComposer,5,0.2420
TFN,8,0.2400
Adamiak,3,0.2780
Bujnicki,2,0.2580
iFoldRNA,5,0.2070
TFN,9,0.2370
Das,7,0.2810
Ding,1,0.2030
FARFAR2,7,0.2660
iFoldRNA,4,0.2370
Das,8,0.2280
SimRNA,3,0.2430
Bujnicki,1,0.2440
iFoldRNA,3,0.2020
SimRNA,2,0.2090
TFN,10,0.2550
Das,4,0.2220
Bujnicki,4,0.2250
FARFAR2,9,0.2720
Das,9,0.2900
Adamiak,4,0.2360
FARFAR2,1,0.2920
SimRNA,1,0.2290
Bujnicki,3,0.2380
Xiao,5,0.2330
SimRNA,4,0.2220
FARFAR2,10,0.2400
TFN,2,0.2360
Bujnicki,5,0.2510
iFoldRNA,2,0.1990
RNAComposer,2,0.2850
iFoldRNA,1,0.2200
Adamiak,1,0.2630
Chen,9,0.2180
TFN,1,0.2610
Chen,6,0.2240
Chen,7,0.2370
Chen,1,0.2360
Chen,10,0.1970
Xiao,2,0.2660
RNAComposer,4,0.2080
Chen,3,0.2550
Chen,8,0.2370
Xiao,4,0.2190
Xiao,1,0.2830
Chen,2,0.2100
Chen,5,0.2280
Chen,4,0.2160
RNAComposer,3,0.2490
Xiao,3,0.2230
