Lab,Num,INF stacking
TFN,3,0.847
FARFAR2,3,0.844
Adamiak,2,0.778
Das,3,0.831
Das,1,0.821
Das,5,0.844
TFN,6,0.837
RNAComposer,1,0.792
TFN,4,0.808
Das,2,0.824
FARFAR2,6,0.824
TFN,5,0.844
Das,6,0.784
FARFAR2,5,0.808
Das,10,0.844
FARFAR2,8,0.844
Adamiak,5,0.765
SimRNA,5,0.698
FARFAR2,2,0.852
Ding,2,0.621
TFN,7,0.821
FARFAR2,4,0.800
RNAComposer,5,0.607
TFN,8,0.818
Adamiak,3,0.788
Bujnicki,2,0.645
iFoldRNA,5,0.584
TFN,9,0.834
Das,7,0.800
Ding,1,0.596
FARFAR2,7,0.824
iFoldRNA,4,0.676
Das,8,0.781
SimRNA,3,0.649
Bujnicki,1,0.676
iFoldRNA,3,0.622
SimRNA,2,0.662
TFN,10,0.824
Das,4,0.850
Bujnicki,4,0.667
FARFAR2,9,0.803
Das,9,0.824
Adamiak,4,0.759
FARFAR2,1,0.821
SimRNA,1,0.702
Bujnicki,3,0.706
Xiao,5,0.644
SimRNA,4,0.676
FARFAR2,10,0.839
TFN,2,0.821
Bujnicki,5,0.667
iFoldRNA,2,0.645
RNAComposer,2,0.736
iFoldRNA,1,0.653
Adamiak,1,0.765
Chen,9,0.660
TFN,1,0.775
Chen,6,0.680
Chen,7,0.707
Chen,1,0.641
Chen,10,0.664
Xiao,2,0.520
RNAComposer,4,0.660
Chen,3,0.692
Chen,8,0.713
Xiao,4,0.509
Xiao,1,0.538
Chen,2,0.698
Chen,5,0.660
Chen,4,0.688
RNAComposer,3,0.645
Xiao,3,0.548
