Lab,Num,INF all
TFN,3,0.852
FARFAR2,3,0.851
Adamiak,2,0.810
Das,3,0.842
Das,1,0.831
Das,5,0.855
TFN,6,0.849
RNAComposer,1,0.821
TFN,4,0.826
Das,2,0.836
FARFAR2,6,0.836
TFN,5,0.851
Das,6,0.809
FARFAR2,5,0.830
Das,10,0.855
FARFAR2,8,0.855
Adamiak,5,0.787
SimRNA,5,0.712
FARFAR2,2,0.860
Ding,2,0.660
TFN,7,0.835
FARFAR2,4,0.820
RNAComposer,5,0.692
TFN,8,0.833
Adamiak,3,0.817
Bujnicki,2,0.673
iFoldRNA,5,0.610
TFN,9,0.844
Das,7,0.820
Ding,1,0.613
FARFAR2,7,0.833
iFoldRNA,4,0.670
Das,8,0.807
SimRNA,3,0.676
Bujnicki,1,0.703
iFoldRNA,3,0.636
SimRNA,2,0.682
TFN,10,0.836
Das,4,0.855
Bujnicki,4,0.700
FARFAR2,9,0.818
Das,9,0.840
Adamiak,4,0.795
FARFAR2,1,0.834
SimRNA,1,0.725
Bujnicki,3,0.734
Xiao,5,0.662
SimRNA,4,0.682
FARFAR2,10,0.851
TFN,2,0.831
Bujnicki,5,0.711
iFoldRNA,2,0.667
RNAComposer,2,0.784
iFoldRNA,1,0.648
Adamiak,1,0.802
Chen,9,0.748
TFN,1,0.806
Chen,6,0.737
Chen,7,0.767
Chen,1,0.724
Chen,10,0.735
Xiao,2,0.412
RNAComposer,4,0.725
Chen,3,0.753
Chen,8,0.753
Xiao,4,0.453
Xiao,1,0.428
Chen,2,0.769
Chen,5,0.742
Chen,4,0.766
RNAComposer,3,0.714
Xiao,3,0.455
