Lab,Num,RMSD
TFN,3,5.026
FARFAR2,3,5.994
Adamiak,2,6.824
Das,3,10.490
Das,1,10.795
Das,5,11.403
TFN,6,12.679
RNAComposer,1,13.208
TFN,4,13.560
Das,2,13.646
FARFAR2,6,13.646
TFN,5,14.172
Das,6,15.312
FARFAR2,5,15.647
Das,10,15.943
FARFAR2,8,15.943
Adamiak,5,16.087
SimRNA,5,16.196
FARFAR2,2,16.230
Ding,2,16.392
TFN,7,16.549
FARFAR2,4,16.692
RNAComposer,5,16.826
TFN,8,17.007
Adamiak,3,17.328
Bujnicki,2,17.382
iFoldRNA,5,17.547
TFN,9,17.554
Das,7,17.922
Ding,1,18.143
FARFAR2,7,18.318
iFoldRNA,4,18.500
Das,8,19.188
SimRNA,3,19.274
Bujnicki,1,19.309
iFoldRNA,3,19.499
SimRNA,2,19.559
TFN,10,19.581
Das,4,19.588
Bujnicki,4,19.590
FARFAR2,9,19.634
Das,9,19.735
Adamiak,4,19.912
FARFAR2,1,20.105
SimRNA,1,20.223
Bujnicki,3,20.266
Xiao,5,20.330
SimRNA,4,20.450
FARFAR2,10,20.467
TFN,2,20.757
Bujnicki,5,20.939
iFoldRNA,2,21.194
RNAComposer,2,21.338
iFoldRNA,1,21.631
Adamiak,1,22.124
Chen,9,22.825
TFN,1,23.045
Chen,6,23.060
Chen,7,23.959
Chen,1,24.387
Chen,10,24.964
Xiao,2,24.983
RNAComposer,4,25.292
Chen,3,25.475
Chen,8,25.726
Xiao,4,25.934
Xiao,1,26.018
Chen,2,26.309
Chen,5,26.695
Chen,4,27.253
RNAComposer,3,27.630
Xiao,3,29.167
