Lab,Num,DI all
TFN,3,5.897
FARFAR2,3,7.046
Adamiak,2,8.423
Das,3,12.463
Das,1,12.989
Das,5,13.344
TFN,6,14.928
RNAComposer,1,16.086
TFN,4,16.423
Das,2,16.315
FARFAR2,6,16.315
TFN,5,16.658
Das,6,18.918
FARFAR2,5,18.863
Das,10,18.656
FARFAR2,8,18.656
Adamiak,5,20.440
SimRNA,5,22.737
FARFAR2,2,18.877
Ding,2,24.838
TFN,7,19.822
FARFAR2,4,20.358
RNAComposer,5,24.315
TFN,8,20.425
Adamiak,3,21.211
Bujnicki,2,25.835
iFoldRNA,5,28.787
TFN,9,20.798
Das,7,21.857
Ding,1,29.600
FARFAR2,7,21.999
iFoldRNA,4,27.609
Das,8,23.767
SimRNA,3,28.513
Bujnicki,1,27.484
iFoldRNA,3,30.677
SimRNA,2,28.664
TFN,10,23.411
Das,4,22.922
Bujnicki,4,27.984
FARFAR2,9,23.996
Das,9,23.488
Adamiak,4,25.047
FARFAR2,1,24.098
SimRNA,1,27.902
Bujnicki,3,27.613
Xiao,5,30.714
SimRNA,4,29.983
FARFAR2,10,24.057
TFN,2,24.989
Bujnicki,5,29.431
iFoldRNA,2,31.783
RNAComposer,2,27.226
iFoldRNA,1,33.377
Adamiak,1,27.579
Chen,9,30.514
TFN,1,28.609
Chen,6,31.288
Chen,7,31.224
Chen,1,33.698
Chen,10,33.965
Xiao,2,60.620
RNAComposer,4,34.883
Chen,3,33.829
Chen,8,34.162
Xiao,4,57.192
Xiao,1,60.721
Chen,2,34.221
Chen,5,35.977
Chen,4,35.588
RNAComposer,3,38.717
Xiao,3,64.128
