Lab,Num,P-value
TFN,3,0.00e+00
FARFAR2,3,0.00e+00
Adamiak,2,0.00e+00
Das,3,0.00e+00
Das,1,0.00e+00
Das,5,0.00e+00
TFN,6,0.00e+00
RNAComposer,1,0.00e+00
TFN,4,0.00e+00
Das,2,0.00e+00
FARFAR2,6,0.00e+00
TFN,5,5.55e-17
Das,6,5.16e-15
FARFAR2,5,2.19e-14
Das,10,7.65e-14
FARFAR2,8,7.65e-14
Adamiak,5,1.39e-13
SimRNA,5,2.18e-13
FARFAR2,2,2.50e-13
Ding,2,4.82e-13
TFN,7,9.06e-13
FARFAR2,4,1.60e-12
RNAComposer,5,2.71e-12
TFN,8,5.46e-12
Adamiak,3,1.85e-11
Bujnicki,2,2.27e-11
iFoldRNA,5,4.19e-11
TFN,9,4.30e-11
Das,7,1.63e-10
Ding,1,3.58e-10
FARFAR2,7,6.58e-10
iFoldRNA,4,1.23e-09
Das,8,1.19e-08
SimRNA,3,1.56e-08
Bujnicki,1,1.75e-08
iFoldRNA,3,3.16e-08
SimRNA,2,3.82e-08
TFN,10,4.07e-08
Das,4,4.17e-08
Bujnicki,4,4.19e-08
FARFAR2,9,4.80e-08
Das,9,6.52e-08
Adamiak,4,1.11e-07
FARFAR2,1,1.96e-07
SimRNA,1,2.76e-07
Bujnicki,3,3.13e-07
Xiao,5,3.75e-07
SimRNA,4,5.28e-07
FARFAR2,10,5.54e-07
TFN,2,1.24e-06
Bujnicki,5,2.02e-06
iFoldRNA,2,3.96e-06
RNAComposer,2,5.73e-06
iFoldRNA,1,1.20e-05
Adamiak,1,3.89e-05
Chen,9,1.84e-04
TFN,1,2.92e-04
Chen,6,3.01e-04
Chen,7,1.69e-03
Chen,1,3.53e-03
Chen,10,8.81e-03
Xiao,2,9.07e-03
RNAComposer,4,1.42e-02
Chen,3,1.84e-02
Chen,8,2.56e-02
Xiao,4,3.33e-02
Xiao,1,3.69e-02
Chen,2,5.20e-02
Chen,5,7.90e-02
Chen,4,1.35e-01
RNAComposer,3,1.86e-01
Xiao,3,4.85e-01
