Lab,Num,INF wc
TFN,3,0.933
FARFAR2,3,0.933
Adamiak,2,0.932
Das,3,0.933
Das,1,0.918
Das,5,0.933
TFN,6,0.933
RNAComposer,1,0.933
TFN,4,0.918
Das,2,0.933
FARFAR2,6,0.933
TFN,5,0.933
Das,6,0.933
FARFAR2,5,0.933
Das,10,0.933
FARFAR2,8,0.933
Adamiak,5,0.933
SimRNA,5,0.814
FARFAR2,2,0.933
Ding,2,0.794
TFN,7,0.933
FARFAR2,4,0.933
RNAComposer,5,0.915
TFN,8,0.933
Adamiak,3,0.932
Bujnicki,2,0.800
iFoldRNA,5,0.725
TFN,9,0.933
Das,7,0.933
Ding,1,0.690
FARFAR2,7,0.918
iFoldRNA,4,0.700
Das,8,0.918
SimRNA,3,0.807
Bujnicki,1,0.826
iFoldRNA,3,0.733
SimRNA,2,0.787
TFN,10,0.918
Das,4,0.933
Bujnicki,4,0.839
FARFAR2,9,0.933
Das,9,0.933
Adamiak,4,0.915
FARFAR2,1,0.933
SimRNA,1,0.848
Bujnicki,3,0.863
Xiao,5,0.761
SimRNA,4,0.742
FARFAR2,10,0.933
TFN,2,0.918
Bujnicki,5,0.877
iFoldRNA,2,0.773
RNAComposer,2,0.933
iFoldRNA,1,0.678
Adamiak,1,0.933
Chen,9,0.931
TFN,1,0.933
Chen,6,0.857
Chen,7,0.895
Chen,1,0.931
Chen,10,0.913
Xiao,2,0.163
RNAComposer,4,0.933
Chen,3,0.914
Chen,8,0.838
Xiao,4,0.344
Xiao,1,0.163
Chen,2,0.914
Chen,5,0.931
Chen,4,0.931
RNAComposer,3,0.915
Xiao,3,0.215
