Lab,Num,mcq
TFN,3,17.59
FARFAR2,3,17.70
Adamiak,2,23.70
Das,3,18.15
Das,1,17.89
Das,5,17.75
TFN,6,16.90
RNAComposer,1,22.59
TFN,4,18.98
Das,2,17.26
FARFAR2,6,17.26
TFN,5,18.41
Das,6,18.48
FARFAR2,5,17.92
Das,10,17.76
FARFAR2,8,17.76
Adamiak,5,23.33
SimRNA,5,24.55
FARFAR2,2,18.43
Ding,2,22.83
TFN,7,19.14
FARFAR2,4,17.84
RNAComposer,5,27.92
TFN,8,18.28
Adamiak,3,23.41
Bujnicki,2,24.71
iFoldRNA,5,26.63
TFN,9,18.32
Das,7,17.95
Ding,1,25.59
FARFAR2,7,18.35
iFoldRNA,4,27.15
Das,8,18.16
SimRNA,3,27.13
Bujnicki,1,25.14
iFoldRNA,3,27.77
SimRNA,2,26.84
TFN,10,16.87
Das,4,18.33
Bujnicki,4,26.00
FARFAR2,9,18.89
Das,9,17.55
Adamiak,4,24.76
FARFAR2,1,17.32
SimRNA,1,27.46
Bujnicki,3,26.51
Xiao,5,26.78
SimRNA,4,27.44
FARFAR2,10,17.53
TFN,2,18.20
Bujnicki,5,24.80
iFoldRNA,2,26.79
RNAComposer,2,21.62
iFoldRNA,1,26.73
Adamiak,1,23.60
Chen,9,27.67
TFN,1,19.58
Chen,6,29.44
Chen,7,29.40
Chen,1,30.63
Chen,10,29.72
Xiao,2,34.62
RNAComposer,4,27.49
Chen,3,30.54
Chen,8,30.14
Xiao,4,33.28
Xiao,1,28.95
Chen,2,28.30
Chen,5,31.16
Chen,4,30.21
RNAComposer,3,24.42
Xiao,3,32.16
