Lab,Num,INF stacking
TS232,4,0.796
TS232,2,0.782
TS416,3,0.765
TS416,4,0.801
TS416,2,0.736
TS232,5,0.775
TS470,4,0.736
TS489,4,0.736
TS470,1,0.656
TS489,1,0.656
TS470,2,0.679
TS489,2,0.679
TS232,1,0.816
TS416,1,0.779
TS128,3,0.723
TSR04,3,0.723
TS470,3,0.778
TS489,3,0.778
TSR01,5,0.807
TS287,2,0.804
TSR01,7,0.807
TS287,4,0.811
TSR01,2,0.826
TSR01,4,0.818
TSR01,9,0.796
TS287,1,0.826
TSR01,1,0.807
TS232,3,0.793
TS054,3,0.739
TS054,1,0.776
TS054,2,0.763
TS054,5,0.735
TS125,2,0.702
TS125,3,0.726
TS125,1,0.713
TS054,4,0.779
TS416,5,0.723
TS125,4,0.710
TS125,5,0.714
TSR06,4,0.822
TSR06,5,0.738
TS163,1,0.612
TS081,4,0.674
TSR08,4,0.674
TSR06,2,0.728
TSR06,1,0.742
TS229,1,0.569
TS229,2,0.569
TS229,3,0.569
TS229,4,0.569
TS229,5,0.569
TSR06,3,0.752
TS470,5,0.746
TS489,5,0.746
TS238,1,0.791
TSR02,8,0.721
TS081,3,0.752
TSR08,3,0.752
TS081,2,0.772
TSR08,2,0.772
TS081,1,0.761
TSR08,1,0.761
TS128,5,0.623
TSR04,5,0.623
TS439,1,0.741
TSR01,8,0.817
TS287,5,0.852
TS147,2,0.798
TS439,3,0.751
TSR01,10,0.831
TS128,1,0.750
TSR04,1,0.750
TSR05,3,0.599
TS119,5,0.772
TS029,2,0.526
TSR01,6,0.812
TS287,3,0.823
TS029,1,0.696
TS147,4,0.766
TS119,3,0.732
TS227,1,0.815
TSR01,3,0.812
TS119,4,0.722
TS227,4,0.781
TS119,2,0.726
TS128,2,0.750
TSR04,2,0.750
TSR05,1,0.590
TS147,5,0.811
TS434,3,0.759
TS439,2,0.768
TS227,5,0.801
TS248,5,0.724
TSR07,3,0.713
TS227,3,0.783
TSR05,4,0.615
TS147,3,0.790
TSR07,1,0.674
TS119,1,0.776
TSR07,4,0.700
TS235,3,0.714
TSR03,1,0.603
TS235,2,0.673
TSR05,2,0.532
TSR02,6,0.650
TS128,4,0.701
TSR04,4,0.701
TSR03,4,0.643
TS147,1,0.709
TS235,5,0.691
TS385,4,0.642
TSR07,5,0.770
TS385,3,0.636
TS285,3,0.547
TS285,4,0.516
TSR03,2,0.666
TSR03,3,0.634
TSR07,2,0.781
TS285,5,0.508
TS285,1,0.497
TS385,2,0.667
TS035,3,0.641
TSR03,5,0.691
TSR02,5,0.661
TS285,2,0.529
TS439,5,0.753
TS245,1,0.621
TS385,1,0.662
TS385,5,0.637
TS434,5,0.794
TS235,4,0.673
TS035,4,0.669
TS035,2,0.570
TS434,1,0.783
TSR02,10,0.680
TSR02,2,0.650
TS035,5,0.538
TS434,4,0.761
TS434,2,0.761
TS227,2,0.726
TS035,1,0.569
TS439,4,0.731
TSR02,9,0.655
TS248,1,0.732
TSR02,4,0.693
TSR02,3,0.679
TS097,1,0.507
TSR02,7,0.668
TSR02,1,0.700
TS248,4,0.739
TS248,3,0.721
TS248,2,0.768
TS235,1,0.767
TS131,4,0.730
TS131,3,0.685
TS131,5,0.752
TS131,2,0.716
TS091,5,0.177
TS131,1,0.674
TS091,3,0.135
TS091,1,0.139
TS091,2,0.193
TS091,4,0.222
