Lab,Num,INF wc
TS232,4,0.917
TS232,2,0.935
TS416,3,0.952
TS416,4,0.977
TS416,2,0.854
TS232,5,0.917
TS470,4,0.811
TS489,4,0.811
TS470,1,0.843
TS489,1,0.843
TS470,2,0.857
TS489,2,0.857
TS232,1,0.935
TS416,1,0.952
TS128,3,0.910
TSR04,3,0.910
TS470,3,0.896
TS489,3,0.896
TSR01,5,0.818
TS287,2,0.836
TSR01,7,0.818
TS287,4,0.836
TSR01,2,0.836
TSR01,4,0.836
TSR01,9,0.836
TS287,1,0.836
TSR01,1,0.804
TS232,3,0.917
TS054,3,0.935
TS054,1,0.935
TS054,2,0.935
TS054,5,0.930
TS125,2,0.910
TS125,3,0.910
TS125,1,0.910
TS054,4,0.910
TS416,5,0.851
TS125,4,0.935
TS125,5,0.935
TSR06,4,0.885
TSR06,5,0.905
TS163,1,0.471
TS081,4,0.800
TSR08,4,0.800
TSR06,2,0.935
TSR06,1,0.977
TS229,1,0.671
TS229,2,0.671
TS229,3,0.671
TS229,4,0.671
TS229,5,0.671
TSR06,3,0.854
TS470,5,0.751
TS489,5,0.751
TS238,1,0.756
TSR02,8,0.930
TS081,3,0.825
TSR08,3,0.825
TS081,2,0.791
TSR08,2,0.791
TS081,1,0.825
TSR08,1,0.825
TS128,5,0.686
TSR04,5,0.686
TS439,1,0.630
TSR01,8,0.800
TS287,5,0.800
TS147,2,0.757
TS439,3,0.640
TSR01,10,0.800
TS128,1,0.794
TSR04,1,0.794
TSR05,3,0.629
TS119,5,0.667
TS029,2,0.655
TSR01,6,0.800
TS287,3,0.800
TS029,1,0.758
TS147,4,0.757
TS119,3,0.741
TS227,1,0.757
TSR01,3,0.778
TS119,4,0.595
TS227,4,0.757
TS119,2,0.751
TS128,2,0.794
TSR04,2,0.794
TSR05,1,0.611
TS147,5,0.738
TS434,3,0.701
TS439,2,0.787
TS227,5,0.757
TS248,5,0.512
TSR07,3,0.825
TS227,3,0.738
TSR05,4,0.629
TS147,3,0.738
TSR07,1,0.791
TS119,1,0.818
TSR07,4,0.791
TS235,3,0.667
TSR03,1,0.819
TS235,2,0.458
TSR05,2,0.667
TSR02,6,0.300
TS128,4,0.609
TSR04,4,0.609
TSR03,4,0.756
TS147,1,0.738
TS235,5,0.611
TS385,4,0.445
TSR07,5,0.791
TS385,3,0.000
TS285,3,0.491
TS285,4,0.605
TSR03,2,0.756
TSR03,3,0.784
TSR07,2,0.791
TS285,5,0.583
TS285,1,0.605
TS385,2,0.412
TS035,3,0.529
TSR03,5,0.743
TSR02,5,0.369
TS285,2,0.669
TS439,5,0.436
TS245,1,0.463
TS385,1,0.309
TS385,5,0.000
TS434,5,0.757
TS235,4,0.566
TS035,4,0.582
TS035,2,0.649
TS434,1,0.800
TSR02,10,0.000
TSR02,2,0.000
TS035,5,0.233
TS434,4,0.800
TS434,2,0.738
TS227,2,0.738
TS035,1,0.686
TS439,4,0.535
TSR02,9,0.201
TS248,1,0.441
TSR02,4,0.000
TSR02,3,0.000
TS097,1,0.525
TSR02,7,0.000
TSR02,1,0.000
TS248,4,0.441
TS248,3,0.458
TS248,2,0.441
TS235,1,0.596
TS131,4,-
TS131,3,0.000
TS131,5,0.000
TS131,2,-
TS091,5,-
TS131,1,-
TS091,3,-
TS091,1,-
TS091,2,-
TS091,4,-
