Lab,Num,INF all
TS232,4,0.825
TS232,2,0.821
TS416,3,0.818
TS416,4,0.844
TS416,2,0.767
TS232,5,0.810
TS470,4,0.755
TS489,4,0.755
TS470,1,0.706
TS489,1,0.706
TS470,2,0.725
TS489,2,0.725
TS232,1,0.844
TS416,1,0.827
TS128,3,0.771
TSR04,3,0.771
TS470,3,0.809
TS489,3,0.809
TSR01,5,0.808
TS287,2,0.811
TSR01,7,0.808
TS287,4,0.816
TSR01,2,0.827
TSR01,4,0.822
TSR01,9,0.806
TS287,1,0.827
TSR01,1,0.806
TS232,3,0.823
TS054,3,0.790
TS054,1,0.815
TS054,2,0.806
TS054,5,0.790
TS125,2,0.760
TS125,3,0.777
TS125,1,0.767
TS054,4,0.815
TS416,5,0.758
TS125,4,0.774
TS125,5,0.777
TSR06,4,0.837
TSR06,5,0.774
TS163,1,0.580
TS081,4,0.701
TSR08,4,0.701
TSR06,2,0.777
TSR06,1,0.804
TS229,1,0.589
TS229,2,0.589
TS229,3,0.589
TS229,4,0.589
TS229,5,0.589
TSR06,3,0.774
TS470,5,0.747
TS489,5,0.747
TS238,1,0.775
TSR02,8,0.774
TS081,3,0.764
TSR08,3,0.764
TS081,2,0.771
TSR08,2,0.771
TS081,1,0.771
TSR08,1,0.771
TS128,5,0.639
TSR04,5,0.639
TS439,1,0.715
TSR01,8,0.807
TS287,5,0.833
TS147,2,0.788
TS439,3,0.725
TSR01,10,0.817
TS128,1,0.756
TSR04,1,0.756
TSR05,3,0.605
TS119,5,0.747
TS029,2,0.558
TSR01,6,0.803
TS287,3,0.811
TS029,1,0.710
TS147,4,0.759
TS119,3,0.734
TS227,1,0.801
TSR01,3,0.803
TS119,4,0.690
TS227,4,0.776
TS119,2,0.732
TS128,2,0.762
TSR04,2,0.762
TSR05,1,0.594
TS147,5,0.793
TS434,3,0.744
TS439,2,0.770
TS227,5,0.790
TS248,5,0.663
TSR07,3,0.742
TS227,3,0.772
TSR05,4,0.615
TS147,3,0.777
TSR07,1,0.705
TS119,1,0.779
TSR07,4,0.723
TS235,3,0.698
TSR03,1,0.657
TS235,2,0.625
TSR05,2,0.568
TSR02,6,0.553
TS128,4,0.678
TSR04,4,0.678
TSR03,4,0.665
TS147,1,0.712
TS235,5,0.667
TS385,4,0.599
TSR07,5,0.775
TS385,3,0.523
TS285,3,0.516
TS285,4,0.520
TSR03,2,0.688
TSR03,3,0.672
TSR07,2,0.784
TS285,5,0.518
TS285,1,0.506
TS385,2,0.609
TS035,3,0.610
TSR03,5,0.704
TSR02,5,0.583
TS285,2,0.546
TS439,5,0.675
TS245,1,0.576
TS385,1,0.585
TS385,5,0.520
TS434,5,0.785
TS235,4,0.645
TS035,4,0.646
TS035,2,0.591
TS434,1,0.782
TSR02,10,0.487
TSR02,2,0.469
TS035,5,0.445
TS434,4,0.765
TS434,2,0.755
TS227,2,0.724
TS035,1,0.594
TS439,4,0.682
TSR02,9,0.533
TS248,1,0.667
TSR02,4,0.511
TSR02,3,0.507
TS097,1,0.512
TSR02,7,0.477
TSR02,1,0.501
TS248,4,0.671
TS248,3,0.662
TS248,2,0.695
TS235,1,0.728
TS131,4,0.624
TS131,3,0.579
TS131,5,0.625
TS131,2,0.621
TS091,5,0.154
TS131,1,0.585
TS091,3,0.115
TS091,1,0.117
TS091,2,0.167
TS091,4,0.183
