Lab,Num,TM-score
TS232,4,0.5370
TS232,2,0.5220
TS416,3,0.5140
TS416,4,0.5350
TS416,2,0.5160
TS232,5,0.5170
TS470,4,0.5250
TS489,4,0.5250
TS470,1,0.5070
TS489,1,0.5070
TS470,2,0.4980
TS489,2,0.4980
TS232,1,0.4650
TS416,1,0.5090
TS128,3,0.5440
TSR04,3,0.5440
TS470,3,0.4650
TS489,3,0.4650
TSR01,5,0.3820
TS287,2,0.3820
TSR01,7,0.3820
TS287,4,0.3810
TSR01,2,0.3720
TSR01,4,0.3800
TSR01,9,0.3860
TS287,1,0.3830
TSR01,1,0.3910
TS232,3,0.5220
TS054,3,0.4360
TS054,1,0.4300
TS054,2,0.4310
TS054,5,0.3510
TS125,2,0.3390
TS125,3,0.3370
TS125,1,0.3380
TS054,4,0.4200
TS416,5,0.3400
TS125,4,0.3490
TS125,5,0.3520
TSR06,4,0.4270
TSR06,5,0.3590
TS163,1,0.3750
TS081,4,0.3450
TSR08,4,0.3450
TSR06,2,0.3560
TSR06,1,0.3790
TS229,1,0.3760
TS229,2,0.3760
TS229,3,0.3760
TS229,4,0.3760
TS229,5,0.3760
TSR06,3,0.2840
TS470,5,0.3650
TS489,5,0.3650
TS238,1,0.3760
TSR02,8,0.2940
TS081,3,0.3540
TSR08,3,0.3540
TS081,2,0.3390
TSR08,2,0.3390
TS081,1,0.3290
TSR08,1,0.3290
TS128,5,0.2450
TSR04,5,0.2450
TS439,1,0.2940
TSR01,8,0.3730
TS287,5,0.3860
TS147,2,0.2470
TS439,3,0.2510
TSR01,10,0.3840
TS128,1,0.4750
TSR04,1,0.4750
TSR05,3,0.2190
TS119,5,0.3880
TS029,2,0.2680
TSR01,6,0.3620
TS287,3,0.3620
TS029,1,0.3840
TS147,4,0.2450
TS119,3,0.2160
TS227,1,0.2680
TSR01,3,0.3820
TS119,4,0.2440
TS227,4,0.2360
TS119,2,0.2120
TS128,2,0.3050
TSR04,2,0.3050
TSR05,1,0.2440
TS147,5,0.2760
TS434,3,0.3090
TS439,2,0.2740
TS227,5,0.2700
TS248,5,0.2650
TSR07,3,0.2750
TS227,3,0.2050
TSR05,4,0.1910
TS147,3,0.2620
TSR07,1,0.2610
TS119,1,0.2530
TSR07,4,0.2550
TS235,3,0.2550
TSR03,1,0.2180
TS235,2,0.2590
TSR05,2,0.2260
TSR02,6,0.2360
TS128,4,0.2630
TSR04,4,0.2630
TSR03,4,0.2230
TS147,1,0.3110
TS235,5,0.2070
TS385,4,0.2240
TSR07,5,0.2410
TS385,3,0.2230
TS285,3,0.2110
TS285,4,0.2040
TSR03,2,0.2200
TSR03,3,0.2110
TSR07,2,0.2830
TS285,5,0.2220
TS285,1,0.2160
TS385,2,0.1670
TS035,3,0.2400
TSR03,5,0.2150
TSR02,5,0.2090
TS285,2,0.2070
TS439,5,0.2280
TS245,1,0.1930
TS385,1,0.2120
TS385,5,0.1780
TS434,5,0.2360
TS235,4,0.2240
TS035,4,0.2230
TS035,2,0.2070
TS434,1,0.2300
TSR02,10,0.2750
TSR02,2,0.2740
TS035,5,0.2640
TS434,4,0.2280
TS434,2,0.2250
TS227,2,0.2160
TS035,1,0.1940
TS439,4,0.1660
TSR02,9,0.2640
TS248,1,0.2850
TSR02,4,0.2580
TSR02,3,0.2670
TS097,1,0.1830
TSR02,7,0.2290
TSR02,1,0.2310
TS248,4,0.2690
TS248,3,0.2800
TS248,2,0.2800
TS235,1,0.2320
TS131,4,0.1820
TS131,3,0.2000
TS131,5,0.1860
TS131,2,0.1640
TS091,5,0.1600
TS131,1,0.1590
TS091,3,0.1420
TS091,1,0.1640
TS091,2,0.1550
TS091,4,0.1560
