Lab,Num,INF stacking
TS110,2,0.782
TS128,1,0.697
TS125,3,0.831
TS416,3,0.831
TS035,3,0.829
TS054,1,0.808
TS128,4,0.810
TS232,5,0.842
TS076,5,0.862
TS035,5,0.827
TS392,4,0.731
TS119,3,0.817
TS128,3,0.771
TS076,1,0.838
TS119,5,0.793
TS229,2,0.705
TS287,4,0.828
TS110,4,0.775
TS287,1,0.687
TS035,2,0.834
TS229,5,0.779
TS035,4,0.810
TS248,1,0.773
TS076,2,0.832
TS229,1,0.759
TS125,4,0.812
TS416,4,0.812
TS392,1,0.701
TS416,2,0.791
TS119,1,0.819
TS239,1,0.773
TS054,5,0.786
TS470,5,0.731
TS489,5,0.731
TS248,3,0.829
TS239,4,0.728
TS229,4,0.785
TS239,3,0.778
TS227,4,0.862
TS287,3,0.811
TS229,3,0.771
TS434,1,0.827
TS125,2,0.833
TS434,3,0.836
TS470,2,0.744
TS489,2,0.744
TS238,2,0.684
TS054,3,0.792
TS239,2,0.783
TS147,1,0.834
TS385,3,0.533
TS245,3,0.633
TS147,2,0.829
TS416,1,0.767
TS434,2,0.820
TS470,4,0.750
TS489,4,0.750
TS238,1,0.775
TS147,3,0.810
TS470,1,0.743
TS489,1,0.743
TS110,3,0.787
TS232,3,0.765
TS470,3,0.745
TS489,3,0.745
TS232,2,0.777
TS147,5,0.842
TS239,5,0.783
TS076,4,0.810
TS434,5,0.806
TS081,2,0.744
TS434,4,0.843
TS248,4,0.864
TS227,1,0.827
TS235,3,0.793
TS235,2,0.760
TS232,1,0.762
TS125,5,0.784
TS416,5,0.784
TS245,4,0.657
TS227,3,0.786
TS227,2,0.822
TS385,4,0.590
TS227,5,0.806
TS287,2,0.792
TS081,4,0.718
TS054,4,0.818
TS081,1,0.723
TS128,2,0.829
TS081,3,0.722
TS185,5,0.773
TS235,4,0.740
TS035,1,0.807
TS128,5,0.799
TS147,4,0.827
TS185,2,0.741
TS235,5,0.726
TS119,2,0.827
TS248,5,0.785
TS185,1,0.762
TS235,1,0.770
TS054,2,0.795
TS185,3,0.765
TS076,3,0.789
TS392,2,0.681
TS185,4,0.726
TS110,1,0.788
TS125,1,0.766
TS287,5,0.763
TS245,1,0.591
TS119,4,0.806
TS385,1,0.570
TS385,2,0.595
TS245,2,0.595
TS232,4,0.813
TS392,5,0.771
TS081,5,0.737
TS248,2,0.828
TS385,5,0.509
TS245,5,0.601
TS029,4,0.488
TS029,2,0.513
TS029,3,0.661
TS177,1,0.511
TS097,2,0.364
TS392,3,0.702
TS097,1,0.544
TS131,5,0.628
TS131,4,0.704
TS131,3,0.682
TS029,1,0.581
TS131,2,0.758
TS131,1,0.732
TS091,1,0.627
TS091,2,0.663
TS091,4,0.712
TS091,3,0.623
TS091,5,0.656
