Lab,Num,INF wc
TS110,2,0.798
TS128,1,0.802
TS125,3,0.826
TS416,3,0.826
TS035,3,0.880
TS054,1,0.832
TS128,4,0.835
TS232,5,0.854
TS076,5,0.835
TS035,5,0.845
TS392,4,0.877
TS119,3,0.841
TS128,3,0.804
TS076,1,0.924
TS119,5,0.778
TS229,2,0.815
TS287,4,0.867
TS110,4,0.796
TS287,1,0.824
TS035,2,0.792
TS229,5,0.843
TS035,4,0.899
TS248,1,0.804
TS076,2,0.944
TS229,1,0.879
TS125,4,0.930
TS416,4,0.930
TS392,1,0.864
TS416,2,0.892
TS119,1,0.849
TS239,1,0.851
TS054,5,0.953
TS470,5,0.783
TS489,5,0.783
TS248,3,0.817
TS239,4,0.578
TS229,4,0.794
TS239,3,0.854
TS227,4,0.905
TS287,3,0.867
TS229,3,0.929
TS434,1,0.921
TS125,2,0.854
TS434,3,0.902
TS470,2,0.800
TS489,2,0.800
TS238,2,0.619
TS054,3,0.736
TS239,2,0.827
TS147,1,0.902
TS385,3,0.548
TS245,3,0.418
TS147,2,0.934
TS416,1,0.857
TS434,2,0.902
TS470,4,0.769
TS489,4,0.769
TS238,1,0.649
TS147,3,0.956
TS470,1,0.776
TS489,1,0.776
TS110,3,0.784
TS232,3,0.841
TS470,3,0.830
TS489,3,0.830
TS232,2,0.828
TS147,5,0.924
TS239,5,0.867
TS076,4,0.957
TS434,5,0.914
TS081,2,0.876
TS434,4,0.924
TS248,4,0.839
TS227,1,0.924
TS235,3,0.801
TS235,2,0.768
TS232,1,0.841
TS125,5,0.779
TS416,5,0.779
TS245,4,0.363
TS227,3,0.944
TS227,2,0.909
TS385,4,0.758
TS227,5,0.934
TS287,2,0.867
TS081,4,0.876
TS054,4,0.824
TS081,1,0.864
TS128,2,0.813
TS081,3,0.864
TS185,5,0.799
TS235,4,0.838
TS035,1,0.832
TS128,5,0.836
TS147,4,0.914
TS185,2,0.890
TS235,5,0.887
TS119,2,0.858
TS248,5,0.822
TS185,1,0.891
TS235,1,0.864
TS054,2,0.858
TS185,3,0.904
TS076,3,0.924
TS392,2,0.724
TS185,4,0.879
TS110,1,0.799
TS125,1,0.814
TS287,5,0.874
TS245,1,0.095
TS119,4,0.854
TS385,1,0.492
TS385,2,0.455
TS245,2,0.455
TS232,4,0.841
TS392,5,0.867
TS081,5,0.867
TS248,2,0.791
TS385,5,0.426
TS245,5,0.171
TS029,4,0.402
TS029,2,0.428
TS029,3,0.503
TS177,1,0.157
TS097,2,0.000
TS392,3,0.000
TS097,1,0.000
TS131,5,0.000
TS131,4,0.213
TS131,3,0.000
TS029,1,0.000
TS131,2,0.000
TS131,1,-
TS091,1,-
TS091,2,-
TS091,4,-
TS091,3,-
TS091,5,-
