Lab,Num,INF all
TS110,2,0.784
TS128,1,0.728
TS125,3,0.827
TS416,3,0.827
TS035,3,0.839
TS054,1,0.812
TS128,4,0.815
TS232,5,0.840
TS076,5,0.852
TS035,5,0.830
TS392,4,0.778
TS119,3,0.821
TS128,3,0.779
TS076,1,0.859
TS119,5,0.783
TS229,2,0.736
TS287,4,0.840
TS110,4,0.780
TS287,1,0.729
TS035,2,0.821
TS229,5,0.797
TS035,4,0.832
TS248,1,0.783
TS076,2,0.861
TS229,1,0.791
TS125,4,0.841
TS416,4,0.841
TS392,1,0.752
TS416,2,0.821
TS119,1,0.826
TS239,1,0.794
TS054,5,0.830
TS470,5,0.742
TS489,5,0.742
TS248,3,0.823
TS239,4,0.685
TS229,4,0.786
TS239,3,0.800
TS227,4,0.869
TS287,3,0.824
TS229,3,0.813
TS434,1,0.855
TS125,2,0.833
TS434,3,0.854
TS470,2,0.756
TS489,2,0.756
TS238,2,0.661
TS054,3,0.771
TS239,2,0.794
TS147,1,0.850
TS385,3,0.532
TS245,3,0.576
TS147,2,0.857
TS416,1,0.794
TS434,2,0.843
TS470,4,0.754
TS489,4,0.754
TS238,1,0.735
TS147,3,0.854
TS470,1,0.749
TS489,1,0.749
TS110,3,0.781
TS232,3,0.785
TS470,3,0.770
TS489,3,0.770
TS232,2,0.789
TS147,5,0.858
TS239,5,0.806
TS076,4,0.848
TS434,5,0.839
TS081,2,0.785
TS434,4,0.862
TS248,4,0.853
TS227,1,0.851
TS235,3,0.792
TS235,2,0.760
TS232,1,0.782
TS125,5,0.777
TS416,5,0.777
TS245,4,0.584
TS227,3,0.832
TS227,2,0.842
TS385,4,0.640
TS227,5,0.839
TS287,2,0.815
TS081,4,0.762
TS054,4,0.817
TS081,1,0.765
TS128,2,0.824
TS081,3,0.763
TS185,5,0.780
TS235,4,0.766
TS035,1,0.808
TS128,5,0.810
TS147,4,0.850
TS185,2,0.785
TS235,5,0.770
TS119,2,0.831
TS248,5,0.793
TS185,1,0.802
TS235,1,0.792
TS054,2,0.806
TS185,3,0.807
TS076,3,0.830
TS392,2,0.693
TS185,4,0.770
TS110,1,0.785
TS125,1,0.776
TS287,5,0.796
TS245,1,0.485
TS119,4,0.818
TS385,1,0.545
TS385,2,0.553
TS245,2,0.553
TS232,4,0.819
TS392,5,0.798
TS081,5,0.777
TS248,2,0.817
TS385,5,0.483
TS245,5,0.504
TS029,4,0.461
TS029,2,0.483
TS029,3,0.614
TS177,1,0.398
TS097,2,0.240
TS392,3,0.504
TS097,1,0.399
TS131,5,0.474
TS131,4,0.600
TS131,3,0.534
TS029,1,0.429
TS131,2,0.606
TS131,1,0.615
TS091,1,0.525
TS091,2,0.555
TS091,4,0.596
TS091,3,0.522
TS091,5,0.549
