Lab,Num,P-value
TS110,2,0.00e+00
TS128,1,0.00e+00
TS125,3,0.00e+00
TS416,3,0.00e+00
TS035,3,0.00e+00
TS054,1,0.00e+00
TS128,4,0.00e+00
TS232,5,0.00e+00
TS076,5,0.00e+00
TS035,5,0.00e+00
TS392,4,0.00e+00
TS119,3,0.00e+00
TS128,3,0.00e+00
TS076,1,0.00e+00
TS119,5,0.00e+00
TS229,2,0.00e+00
TS287,4,0.00e+00
TS110,4,0.00e+00
TS287,1,0.00e+00
TS035,2,0.00e+00
TS229,5,0.00e+00
TS035,4,0.00e+00
TS248,1,0.00e+00
TS076,2,0.00e+00
TS229,1,0.00e+00
TS125,4,0.00e+00
TS416,4,0.00e+00
TS392,1,0.00e+00
TS416,2,0.00e+00
TS119,1,0.00e+00
TS239,1,0.00e+00
TS054,5,0.00e+00
TS470,5,0.00e+00
TS489,5,0.00e+00
TS248,3,0.00e+00
TS239,4,0.00e+00
TS229,4,0.00e+00
TS239,3,0.00e+00
TS227,4,0.00e+00
TS287,3,0.00e+00
TS229,3,0.00e+00
TS434,1,0.00e+00
TS125,2,0.00e+00
TS434,3,0.00e+00
TS470,2,0.00e+00
TS489,2,0.00e+00
TS238,2,0.00e+00
TS054,3,0.00e+00
TS239,2,0.00e+00
TS147,1,0.00e+00
TS385,3,0.00e+00
TS245,3,0.00e+00
TS147,2,0.00e+00
TS416,1,0.00e+00
TS434,2,0.00e+00
TS470,4,0.00e+00
TS489,4,0.00e+00
TS238,1,0.00e+00
TS147,3,0.00e+00
TS470,1,0.00e+00
TS489,1,0.00e+00
TS110,3,0.00e+00
TS232,3,0.00e+00
TS470,3,0.00e+00
TS489,3,0.00e+00
TS232,2,0.00e+00
TS147,5,0.00e+00
TS239,5,0.00e+00
TS076,4,0.00e+00
TS434,5,0.00e+00
TS081,2,0.00e+00
TS434,4,0.00e+00
TS248,4,0.00e+00
TS227,1,0.00e+00
TS235,3,0.00e+00
TS235,2,5.55e-17
TS232,1,5.55e-17
TS125,5,1.11e-16
TS416,5,1.11e-16
TS245,4,1.11e-16
TS227,3,1.66e-16
TS227,2,2.22e-16
TS385,4,2.78e-16
TS227,5,2.78e-16
TS287,2,2.78e-16
TS081,4,4.44e-16
TS054,4,1.61e-15
TS081,1,2.50e-15
TS128,2,4.22e-15
TS081,3,4.27e-15
TS185,5,7.11e-15
TS235,4,2.28e-14
TS035,1,2.40e-14
TS128,5,3.59e-14
TS147,4,4.78e-14
TS185,2,2.26e-13
TS235,5,2.67e-13
TS119,2,3.40e-13
TS248,5,4.32e-13
TS185,1,1.78e-12
TS235,1,2.12e-12
TS054,2,2.37e-12
TS185,3,2.51e-12
TS076,3,3.29e-12
TS392,2,9.51e-12
TS185,4,1.04e-11
TS110,1,3.15e-11
TS125,1,3.16e-11
TS287,5,9.84e-11
TS245,1,1.43e-10
TS119,4,2.03e-10
TS385,1,2.16e-10
TS385,2,4.40e-09
TS245,2,4.46e-09
TS232,4,9.29e-08
TS392,5,1.21e-07
TS081,5,4.46e-07
TS248,2,2.53e-06
TS385,5,6.69e-06
TS245,5,6.95e-06
TS029,4,8.24e-06
TS029,2,1.38e-05
TS029,3,3.01e-04
TS177,1,2.46e-03
TS097,2,2.91e-02
TS392,3,2.39e-01
TS097,1,3.09e-01
TS131,5,6.39e-01
TS131,4,6.76e-01
TS131,3,9.66e-01
TS029,1,9.99e-01
TS131,2,1.00e+00
TS131,1,1.00e+00
TS091,1,1.00e+00
TS091,2,1.00e+00
TS091,4,1.00e+00
TS091,3,1.00e+00
TS091,5,1.00e+00
