ModelGroup,BestModel,BestSolution,lDDT
AdamiakPostExp_1,14_AdamiakPostExp_1_refined.pdb,14_AdamiakPostExp_1_solution.pdb,0.657
AdamiakPostExp_2,14_AdamiakPostExp_2_refined.pdb,14_AdamiakPostExp_2_solution.pdb,0.535
AdamiakPreExp_1,14_AdamiakPreExp_1_refined.pdb,14_AdamiakPreExp_1_solution.pdb,0.660
AdamiakPreExp_2,14_AdamiakPreExp_2_refined.pdb,14_AdamiakPreExp_2_solution.pdb,0.618
BujnickiPostExp_1,14_BujnickiPostExp_1_refined.pdb,14_BujnickiPostExp_1_solution.pdb,0.586
BujnickiPostExp_2,14_BujnickiPostExp_2_refined.pdb,14_BujnickiPostExp_2_solution.pdb,0.509
BujnickiPostExp_3,14_BujnickiPostExp_3_refined.pdb,14_BujnickiPostExp_3_solution.pdb,0.466
BujnickiPostExp_4,14_BujnickiPostExp_4_refined.pdb,14_BujnickiPostExp_4_solution.pdb,0.489
BujnickiPostExp_5,14_BujnickiPostExp_5_refined.pdb,14_BujnickiPostExp_5_solution.pdb,0.560
BujnickiPreExp_1,14_BujnickiPreExp_1_refined.pdb,14_BujnickiPreExp_1_solution.pdb,0.709
BujnickiPreExp_2,14_BujnickiPreExp_2_refined.pdb,14_BujnickiPreExp_2_solution.pdb,0.715
BujnickiPreExp_3,14_BujnickiPreExp_3_refined.pdb,14_BujnickiPreExp_3_solution.pdb,0.722
BujnickiPreExp_4,14_BujnickiPreExp_4_refined.pdb,14_BujnickiPreExp_4_solution.pdb,0.680
BujnickiPreExp_5,14_BujnickiPreExp_5_refined.pdb,14_BujnickiPreExp_5_solution.pdb,0.669
BujnickiPreExp_6,14_BujnickiPreExp_6_refined.pdb,14_BujnickiPreExp_6_solution.pdb,0.671
BujnickiPreExp_7,14_BujnickiPreExp_7_refined.pdb,14_BujnickiPreExp_7_solution.pdb,0.423
ChenPostExp_1,14_ChenPostExp_1_refined.pdb,14_ChenPostExp_1_solution.pdb,0.530
ChenPostExp_10,14_ChenPostExp_10_refined.pdb,14_ChenPostExp_10_solution.pdb,0.593
ChenPostExp_2,14_ChenPostExp_2_refined.pdb,14_ChenPostExp_2_solution.pdb,0.562
ChenPostExp_3,14_ChenPostExp_3_refined.pdb,14_ChenPostExp_3_solution.pdb,0.591
ChenPostExp_4,14_ChenPostExp_4_refined.pdb,14_ChenPostExp_4_solution.pdb,0.580
ChenPostExp_5,14_ChenPostExp_5_refined.pdb,14_ChenPostExp_5_solution.pdb,0.565
ChenPostExp_6,14_ChenPostExp_6_refined.pdb,14_ChenPostExp_6_solution.pdb,0.544
ChenPostExp_7,14_ChenPostExp_7_refined.pdb,14_ChenPostExp_7_solution.pdb,0.555
ChenPostExp_8,14_ChenPostExp_8_refined.pdb,14_ChenPostExp_8_solution.pdb,0.634
ChenPostExp_9,14_ChenPostExp_9_refined.pdb,14_ChenPostExp_9_solution.pdb,0.574
DasPostExp_1,14_DasPostExp_1_refined.pdb,14_DasPostExp_1_solution.pdb,0.612
