Lab,Num,INF all
TS285,5,0.831
TS285,1,0.803
TS285,3,0.763
TS054,4,0.752
TS229,5,0.654
TS439,4,0.694
TS239,2,0.603
TS285,2,0.763
TS147,1,0.749
TS227,1,0.749
TS434,1,0.749
TS125,1,0.726
TS229,1,0.615
TS125,3,0.754
TS239,1,0.641
TS081,1,0.831
TS416,3,0.748
TS238,2,0.499
TS229,3,0.618
TS229,4,0.675
TS235,5,0.682
TS125,2,0.734
TS470,4,0.740
TS238,1,0.639
TS110,3,0.738
TS439,5,0.755
TS110,2,0.737
TS229,2,0.599
TS439,2,0.721
TS439,3,0.724
TS147,4,0.784
TS227,4,0.784
TS434,4,0.784
TS125,5,0.732
TS239,3,0.669
TS081,2,0.790
TS110,5,0.715
TS235,3,0.779
TS110,1,0.680
TS081,3,0.778
TS416,5,0.792
TS489,4,0.716
TS489,3,0.708
TS489,1,0.707
TS489,2,0.703
TS416,1,0.715
TS235,1,0.667
TS239,5,0.610
TS054,1,0.698
TS163,2,0.399
TS489,5,0.727
TS163,3,0.503
TS110,4,0.708
TS416,4,0.680
TS235,2,0.686
TS185,1,0.760
TS147,5,0.711
TS227,5,0.711
TS434,5,0.711
TS185,4,0.754
TS081,5,0.717
TS285,4,0.608
TS185,3,0.757
TS054,2,0.746
TS470,2,0.741
TS119,5,0.724
TS076,1,0.726
TS239,4,0.631
TS416,2,0.636
TS439,1,0.732
TS232,5,0.817
TS147,3,0.698
TS227,3,0.698
TS434,3,0.698
TS470,1,0.725
TS470,5,0.704
TS147,2,0.760
TS227,2,0.760
TS434,2,0.760
TS470,3,0.682
TS232,2,0.811
TS287,4,0.763
TS235,4,0.763
TS081,4,0.768
TS287,2,0.769
TS185,2,0.791
TS119,1,0.724
TS287,3,0.756
TS287,5,0.761
TS119,4,0.746
TS119,2,0.759
TS287,1,0.763
TS076,3,0.721
TS185,5,0.804
TS163,1,0.427
TS054,5,0.735
TS392,1,0.588
TS054,3,0.725
TS029,1,0.600
TS392,3,0.580
TS232,4,0.816
TS392,4,0.558
TS035,2,0.629
TS245,2,0.525
TS385,2,0.525
TS125,4,0.744
TS232,3,0.825
TS232,1,0.803
TS035,4,0.688
TS035,3,0.649
TS076,4,0.638
TS392,5,0.598
TS119,3,0.704
TS035,5,0.643
TS035,1,0.615
TS392,2,0.629
TS076,5,0.653
TS248,3,0.571
TS245,4,0.478
TS385,4,0.478
TS245,3,0.526
TS385,3,0.526
TS076,2,0.579
TS245,5,0.460
TS385,5,0.460
TS131,4,0.431
TS245,1,0.478
TS385,1,0.478
TS248,5,0.475
TS177,1,0.331
TS248,2,0.445
TS131,1,0.424
TS248,1,0.432
TS097,1,0.228
TS029,2,0.362
TS029,3,0.321
TS248,4,0.405
TS131,5,0.444
TS131,2,0.495
TS131,3,0.476
TS091,2,0.329
TS091,1,0.406
TS091,4,0.425
TS091,5,0.358
TS091,3,0.342
