Lab,Num,mcq
Adamiak,2,13.64
RNAComposerAS1,1,13.64
Adamiak,3,14.05
RNAComposerAS1,2,14.05
Adamiak,6,19.00
Adamiak,7,18.32
Chen,3,17.57
Adamiak,4,16.67
RNAComposerAS2,1,16.67
Adamiak,8,15.35
Chen,6,22.94
Adamiak,10,15.14
Adamiak,5,17.61
RNAComposerAS2,2,17.61
SimRNAAS1,1,20.62
Adamiak,1,16.54
Adamiak,9,16.16
Chen,10,23.35
Chen,8,26.96
Chen,1,19.93
RW3DAS2,7,19.52
Chen,4,24.74
SimRNAAS2,4,21.32
RW3DAS2,10,16.77
SimRNAAS2,7,21.43
RW3DAS2,5,18.16
Chen,9,31.79
RW3DAS2,1,16.41
Chen,7,20.45
RW3DAS2,4,22.97
RW3DAS1,5,18.42
SimRNAAS2,9,21.48
RW3DAS1,2,17.91
SimRNAAS2,1,22.46
RW3DAS1,3,17.73
RW3DAS2,9,16.97
RW3DAS2,8,19.84
Chen,2,19.07
RW3DAS1,4,18.74
RW3DAS1,9,17.19
Chen,5,18.89
RW3DAS1,7,15.92
RW3DAS1,1,17.50
RW3DAS1,6,18.92
SimRNAAS1,7,21.20
SimRNAAS1,9,22.41
SimRNAAS2,2,21.40
SimRNAAS1,4,22.96
SimRNAAS2,5,22.44
RW3DAS1,10,19.02
SimRNAAS2,10,19.17
SimRNAAS1,10,24.88
RW3DAS2,6,19.84
RW3DAS2,3,16.70
RW3DAS2,2,19.38
SimRNAAS2,3,23.22
SimRNAAS1,2,20.93
SimRNAAS1,3,24.05
3dRNAAS2,3,33.99
3dRNAAS2,5,33.95
3dRNAAS2,9,35.04
3dRNAAS2,6,34.49
3dRNAAS2,2,34.77
3dRNAAS2,4,34.62
3dRNAAS2,8,34.87
3dRNAAS2,1,35.36
3dRNAAS2,7,34.22
3dRNAAS2,10,35.60
SimRNAAS1,5,23.47
RW3DAS1,8,16.80
SimRNAAS1,8,23.07
SimRNAAS2,6,22.82
SimRNAAS2,8,24.97
SimRNAAS1,6,22.31
