Lab,Num,TM-score
Adamiak,2,0.5660
RNAComposerAS1,1,0.5660
Adamiak,3,0.5650
RNAComposerAS1,2,0.5650
Adamiak,6,0.3550
Adamiak,7,0.3770
Chen,3,0.4380
Adamiak,4,0.2990
RNAComposerAS2,1,0.2990
Adamiak,8,0.3020
Chen,6,0.3210
Adamiak,10,0.3470
Adamiak,5,0.2830
RNAComposerAS2,2,0.2830
SimRNAAS1,1,0.2820
Adamiak,1,0.2780
Adamiak,9,0.2200
Chen,10,0.2450
Chen,8,0.2430
Chen,1,0.3070
RW3DAS2,7,0.2560
Chen,4,0.3510
SimRNAAS2,4,0.2500
RW3DAS2,10,0.3440
SimRNAAS2,7,0.2540
RW3DAS2,5,0.2730
Chen,9,0.2210
RW3DAS2,1,0.2300
Chen,7,0.2660
RW3DAS2,4,0.2210
RW3DAS1,5,0.1810
SimRNAAS2,9,0.2630
RW3DAS1,2,0.2650
SimRNAAS2,1,0.2620
RW3DAS1,3,0.2290
RW3DAS2,9,0.3590
RW3DAS2,8,0.2380
Chen,2,0.2080
RW3DAS1,4,0.2440
RW3DAS1,9,0.2550
Chen,5,0.3140
RW3DAS1,7,0.2660
RW3DAS1,1,0.2270
RW3DAS1,6,0.2420
SimRNAAS1,7,0.2320
SimRNAAS1,9,0.2060
SimRNAAS2,2,0.2400
SimRNAAS1,4,0.2220
SimRNAAS2,5,0.2780
RW3DAS1,10,0.2440
SimRNAAS2,10,0.2260
SimRNAAS1,10,0.2030
RW3DAS2,6,0.2960
RW3DAS2,3,0.2540
RW3DAS2,2,0.2570
SimRNAAS2,3,0.2110
SimRNAAS1,2,0.1930
SimRNAAS1,3,0.1580
3dRNAAS2,3,0.2270
3dRNAAS2,5,0.2270
3dRNAAS2,9,0.2260
3dRNAAS2,6,0.2270
3dRNAAS2,2,0.2260
3dRNAAS2,4,0.2270
3dRNAAS2,8,0.2260
3dRNAAS2,1,0.2260
3dRNAAS2,7,0.2270
3dRNAAS2,10,0.2260
SimRNAAS1,5,0.2260
RW3DAS1,8,0.3660
SimRNAAS1,8,0.2070
SimRNAAS2,6,0.2710
SimRNAAS2,8,0.2140
SimRNAAS1,6,0.1810
