Lab,Num,INF stacking
Adamiak,2,0.891
RNAComposerAS1,1,0.891
Adamiak,3,0.839
RNAComposerAS1,2,0.839
Adamiak,6,0.785
Adamiak,7,0.788
Chen,3,0.777
Adamiak,4,0.732
RNAComposerAS2,1,0.732
Adamiak,8,0.763
Chen,6,0.664
Adamiak,10,0.807
Adamiak,5,0.728
RNAComposerAS2,2,0.728
SimRNAAS1,1,0.699
Adamiak,1,0.666
Adamiak,9,0.701
Chen,10,0.664
Chen,8,0.652
Chen,1,0.742
RW3DAS2,7,0.635
Chen,4,0.762
SimRNAAS2,4,0.652
RW3DAS2,10,0.777
SimRNAAS2,7,0.602
RW3DAS2,5,0.635
Chen,9,0.647
RW3DAS2,1,0.708
Chen,7,0.630
RW3DAS2,4,0.643
RW3DAS1,5,0.675
SimRNAAS2,9,0.708
RW3DAS1,2,0.699
SimRNAAS2,1,0.742
RW3DAS1,3,0.712
RW3DAS2,9,0.682
RW3DAS2,8,0.618
Chen,2,0.651
RW3DAS1,4,0.635
RW3DAS1,9,0.684
Chen,5,0.693
RW3DAS1,7,0.643
RW3DAS1,1,0.721
RW3DAS1,6,0.635
SimRNAAS1,7,0.685
SimRNAAS1,9,0.690
SimRNAAS2,2,0.706
SimRNAAS1,4,0.644
SimRNAAS2,5,0.693
RW3DAS1,10,0.643
SimRNAAS2,10,0.682
SimRNAAS1,10,0.690
RW3DAS2,6,0.667
RW3DAS2,3,0.659
RW3DAS2,2,0.643
SimRNAAS2,3,0.690
SimRNAAS1,2,0.690
SimRNAAS1,3,0.466
3dRNAAS2,3,0.654
3dRNAAS2,5,0.654
3dRNAAS2,9,0.654
3dRNAAS2,6,0.654
3dRNAAS2,2,0.654
3dRNAAS2,4,0.654
3dRNAAS2,8,0.654
3dRNAAS2,1,0.654
3dRNAAS2,7,0.654
3dRNAAS2,10,0.654
SimRNAAS1,5,0.651
RW3DAS1,8,0.627
SimRNAAS1,8,0.652
SimRNAAS2,6,0.702
SimRNAAS2,8,0.747
SimRNAAS1,6,0.586
