Lab,Num,INF all
Adamiak,2,0.903
RNAComposerAS1,1,0.903
Adamiak,3,0.861
RNAComposerAS1,2,0.861
Adamiak,6,0.807
Adamiak,7,0.816
Chen,3,0.837
Adamiak,4,0.780
RNAComposerAS2,1,0.780
Adamiak,8,0.811
Chen,6,0.728
Adamiak,10,0.821
Adamiak,5,0.778
RNAComposerAS2,2,0.778
SimRNAAS1,1,0.720
Adamiak,1,0.721
Adamiak,9,0.772
Chen,10,0.707
Chen,8,0.704
Chen,1,0.775
RW3DAS2,7,0.678
Chen,4,0.816
SimRNAAS2,4,0.718
RW3DAS2,10,0.781
SimRNAAS2,7,0.685
RW3DAS2,5,0.694
Chen,9,0.711
RW3DAS2,1,0.736
Chen,7,0.679
RW3DAS2,4,0.678
RW3DAS1,5,0.726
SimRNAAS2,9,0.736
RW3DAS1,2,0.732
SimRNAAS2,1,0.765
RW3DAS1,3,0.726
RW3DAS2,9,0.734
RW3DAS2,8,0.678
Chen,2,0.716
RW3DAS1,4,0.656
RW3DAS1,9,0.722
Chen,5,0.748
RW3DAS1,7,0.688
RW3DAS1,1,0.750
RW3DAS1,6,0.689
SimRNAAS1,7,0.683
SimRNAAS1,9,0.728
SimRNAAS2,2,0.746
SimRNAAS1,4,0.543
SimRNAAS2,5,0.732
RW3DAS1,10,0.683
SimRNAAS2,10,0.719
SimRNAAS1,10,0.680
RW3DAS2,6,0.709
RW3DAS2,3,0.682
RW3DAS2,2,0.693
SimRNAAS2,3,0.719
SimRNAAS1,2,0.686
SimRNAAS1,3,0.323
3dRNAAS2,3,0.731
3dRNAAS2,5,0.731
3dRNAAS2,9,0.731
3dRNAAS2,6,0.731
3dRNAAS2,2,0.731
3dRNAAS2,4,0.731
3dRNAAS2,8,0.731
3dRNAAS2,1,0.731
3dRNAAS2,7,0.731
3dRNAAS2,10,0.731
SimRNAAS1,5,0.657
RW3DAS1,8,0.683
SimRNAAS1,8,0.679
SimRNAAS2,6,0.739
SimRNAAS2,8,0.765
SimRNAAS1,6,0.427
