Lab,Num,RMSD
Adamiak,2,3.609
RNAComposerAS1,1,3.609
Adamiak,3,3.634
RNAComposerAS1,2,3.634
Adamiak,6,4.311
Adamiak,7,4.324
Chen,3,4.375
Adamiak,4,4.645
RNAComposerAS2,1,4.645
Adamiak,8,4.767
Chen,6,4.831
Adamiak,10,4.924
Adamiak,5,5.110
RNAComposerAS2,2,5.110
SimRNAAS1,1,5.201
Adamiak,1,5.821
Adamiak,9,6.238
Chen,10,6.950
Chen,8,7.373
Chen,1,7.635
RW3DAS2,7,7.845
Chen,4,7.999
SimRNAAS2,4,8.093
RW3DAS2,10,8.691
SimRNAAS2,7,9.138
RW3DAS2,5,9.265
Chen,9,9.578
RW3DAS2,1,10.025
Chen,7,10.046
RW3DAS2,4,10.054
RW3DAS1,5,10.425
SimRNAAS2,9,10.490
RW3DAS1,2,11.789
SimRNAAS2,1,11.974
RW3DAS1,3,12.256
RW3DAS2,9,12.265
RW3DAS2,8,13.181
Chen,2,13.363
RW3DAS1,4,13.420
RW3DAS1,9,13.649
Chen,5,14.078
RW3DAS1,7,14.468
RW3DAS1,1,14.493
RW3DAS1,6,14.741
SimRNAAS1,7,15.083
SimRNAAS1,9,15.124
SimRNAAS2,2,15.319
SimRNAAS1,4,15.459
SimRNAAS2,5,15.460
RW3DAS1,10,15.861
SimRNAAS2,10,16.066
SimRNAAS1,10,16.094
RW3DAS2,6,16.209
RW3DAS2,3,16.765
RW3DAS2,2,17.286
SimRNAAS2,3,17.695
SimRNAAS1,2,17.809
SimRNAAS1,3,18.300
3dRNAAS2,3,18.549
3dRNAAS2,5,18.549
3dRNAAS2,9,18.549
3dRNAAS2,6,18.550
3dRNAAS2,2,18.551
3dRNAAS2,4,18.552
3dRNAAS2,8,18.552
3dRNAAS2,1,18.554
3dRNAAS2,7,18.554
3dRNAAS2,10,18.559
SimRNAAS1,5,18.731
RW3DAS1,8,19.036
SimRNAAS1,8,19.596
SimRNAAS2,6,20.075
SimRNAAS2,8,20.128
SimRNAAS1,6,23.763
