Lab,Num,DI all
Adamiak,2,3.998
RNAComposerAS1,1,3.998
Adamiak,3,4.221
RNAComposerAS1,2,4.221
Adamiak,6,5.342
Adamiak,7,5.296
Chen,3,5.226
Adamiak,4,5.954
RNAComposerAS2,1,5.954
Adamiak,8,5.878
Chen,6,6.636
Adamiak,10,5.994
Adamiak,5,6.569
RNAComposerAS2,2,6.569
SimRNAAS1,1,7.222
Adamiak,1,8.078
Adamiak,9,8.085
Chen,10,9.829
Chen,8,10.473
Chen,1,9.848
RW3DAS2,7,11.575
Chen,4,9.797
SimRNAAS2,4,11.267
RW3DAS2,10,11.124
SimRNAAS2,7,13.343
RW3DAS2,5,13.352
Chen,9,13.470
RW3DAS2,1,13.618
Chen,7,14.805
RW3DAS2,4,14.834
RW3DAS1,5,14.356
SimRNAAS2,9,14.248
RW3DAS1,2,16.099
SimRNAAS2,1,15.655
RW3DAS1,3,16.877
RW3DAS2,9,16.701
RW3DAS2,8,19.448
Chen,2,18.662
RW3DAS1,4,20.450
RW3DAS1,9,18.900
Chen,5,18.809
RW3DAS1,7,21.023
RW3DAS1,1,19.324
RW3DAS1,6,21.383
SimRNAAS1,7,22.095
SimRNAAS1,9,20.774
SimRNAAS2,2,20.532
SimRNAAS1,4,28.491
SimRNAAS2,5,21.111
RW3DAS1,10,23.206
SimRNAAS2,10,22.353
SimRNAAS1,10,23.653
RW3DAS2,6,22.872
RW3DAS2,3,24.575
RW3DAS2,2,24.947
SimRNAAS2,3,24.619
SimRNAAS1,2,25.976
SimRNAAS1,3,56.622
3dRNAAS2,3,25.365
3dRNAAS2,5,25.365
3dRNAAS2,9,25.366
3dRNAAS2,6,25.367
3dRNAAS2,2,25.368
3dRNAAS2,4,25.369
3dRNAAS2,8,25.370
3dRNAAS2,1,25.372
3dRNAAS2,7,25.372
3dRNAAS2,10,25.378
SimRNAAS1,5,28.496
RW3DAS1,8,27.886
SimRNAAS1,8,28.867
SimRNAAS2,6,27.180
SimRNAAS2,8,26.316
SimRNAAS1,6,55.684
