Lab,Num,INF wc
Adamiak,2,1.000
RNAComposerAS1,1,1.000
Adamiak,3,1.000
RNAComposerAS1,2,1.000
Adamiak,6,1.000
Adamiak,7,0.972
Chen,3,1.000
Adamiak,4,1.000
RNAComposerAS2,1,1.000
Adamiak,8,0.972
Chen,6,0.941
Adamiak,10,0.972
Adamiak,5,0.972
RNAComposerAS2,2,0.972
SimRNAAS1,1,0.857
Adamiak,1,0.970
Adamiak,9,1.000
Chen,10,0.849
Chen,8,0.877
Chen,1,0.939
RW3DAS2,7,0.868
Chen,4,0.970
SimRNAAS2,4,0.970
RW3DAS2,10,0.941
SimRNAAS2,7,0.941
RW3DAS2,5,0.915
Chen,9,0.907
RW3DAS2,1,0.890
Chen,7,0.857
RW3DAS2,4,0.890
RW3DAS1,5,0.941
SimRNAAS2,9,0.941
RW3DAS1,2,0.970
SimRNAAS2,1,0.941
RW3DAS1,3,0.915
RW3DAS2,9,0.915
RW3DAS2,8,0.890
Chen,2,0.970
RW3DAS1,4,0.868
RW3DAS1,9,0.915
Chen,5,0.939
RW3DAS1,7,0.941
RW3DAS1,1,0.941
RW3DAS1,6,0.941
SimRNAAS1,7,0.788
SimRNAAS1,9,0.882
SimRNAAS2,2,0.915
SimRNAAS1,4,0.336
SimRNAAS2,5,0.915
RW3DAS1,10,0.890
SimRNAAS2,10,0.915
SimRNAAS1,10,0.743
RW3DAS2,6,0.890
RW3DAS2,3,0.827
RW3DAS2,2,0.915
SimRNAAS2,3,0.882
SimRNAAS1,2,0.770
SimRNAAS1,3,0.118
3dRNAAS2,3,0.939
3dRNAAS2,5,0.939
3dRNAAS2,9,0.939
3dRNAAS2,6,0.939
3dRNAAS2,2,0.939
3dRNAAS2,4,0.939
3dRNAAS2,8,0.939
3dRNAAS2,1,0.939
3dRNAAS2,7,0.939
3dRNAAS2,10,0.939
SimRNAAS1,5,0.740
RW3DAS1,8,0.890
SimRNAAS1,8,0.824
SimRNAAS2,6,0.941
SimRNAAS2,8,0.910
SimRNAAS1,6,0.118
