Lab,Num,P-value
Adamiak,2,0.00e+00
RNAComposerAS1,1,0.00e+00
Adamiak,3,0.00e+00
RNAComposerAS1,2,0.00e+00
Adamiak,6,0.00e+00
Adamiak,7,0.00e+00
Chen,3,0.00e+00
Adamiak,4,0.00e+00
RNAComposerAS2,1,0.00e+00
Adamiak,8,0.00e+00
Chen,6,0.00e+00
Adamiak,10,0.00e+00
Adamiak,5,5.55e-17
RNAComposerAS2,2,5.55e-17
SimRNAAS1,1,5.55e-17
Adamiak,1,8.88e-16
Adamiak,9,5.55e-15
Chen,10,1.15e-13
Chen,8,6.45e-13
Chen,1,1.83e-12
RW3DAS2,7,4.16e-12
Chen,4,7.52e-12
SimRNAAS2,4,1.08e-11
RW3DAS2,10,9.88e-11
SimRNAAS2,7,4.84e-10
RW3DAS2,5,7.51e-10
Chen,9,2.18e-09
RW3DAS2,1,9.46e-09
Chen,7,1.01e-08
RW3DAS2,4,1.04e-08
RW3DAS1,5,3.34e-08
SimRNAAS2,9,4.07e-08
RW3DAS1,2,1.73e-06
SimRNAAS2,1,2.83e-06
RW3DAS1,3,5.87e-06
RW3DAS2,9,6.00e-06
RW3DAS2,8,5.48e-05
Chen,2,8.24e-05
RW3DAS1,4,9.36e-05
RW3DAS1,9,1.54e-04
Chen,5,3.75e-04
RW3DAS1,7,8.06e-04
RW3DAS1,1,8.46e-04
RW3DAS1,6,1.34e-03
SimRNAAS1,7,2.46e-03
SimRNAAS1,9,2.64e-03
SimRNAAS2,2,3.67e-03
SimRNAAS1,4,4.62e-03
SimRNAAS2,5,4.62e-03
RW3DAS1,10,8.67e-03
SimRNAAS2,10,1.17e-02
SimRNAAS1,10,1.22e-02
RW3DAS2,6,1.44e-02
RW3DAS2,3,3.02e-02
RW3DAS2,2,5.62e-02
SimRNAAS2,3,8.68e-02
SimRNAAS1,2,9.72e-02
SimRNAAS1,3,1.53e-01
3dRNAAS2,3,1.88e-01
3dRNAAS2,5,1.88e-01
3dRNAAS2,9,1.88e-01
3dRNAAS2,6,1.88e-01
3dRNAAS2,2,1.88e-01
3dRNAAS2,4,1.88e-01
3dRNAAS2,8,1.88e-01
3dRNAAS2,1,1.88e-01
3dRNAAS2,7,1.88e-01
3dRNAAS2,10,1.89e-01
SimRNAAS1,5,2.16e-01
RW3DAS1,8,2.69e-01
SimRNAAS1,8,3.80e-01
SimRNAAS2,6,4.85e-01
SimRNAAS2,8,4.96e-01
SimRNAAS1,6,9.78e-01
