Lab,Num,P-value
Bujnicki,4,0.00e+00
Bujnicki,1,0.00e+00
Bujnicki,5,0.00e+00
Das,2,0.00e+00
Bujnicki,3,0.00e+00
Bujnicki,2,0.00e+00
RNAComposerHuman,5,0.00e+00
Das,1,0.00e+00
Das,3,0.00e+00
Das,4,4.27e-13
RNAComposer,4,2.75e-12
RNAComposerHuman,1,2.76e-11
RNAComposer,3,1.12e-09
RNAComposer,5,1.61e-09
Xiao3,5,2.35e-09
Chen,2,1.12e-08
RNAComposerHuman,4,8.29e-08
RNAComposerHuman,2,2.63e-06
Chen,4,1.56e-05
Chen,3,1.84e-05
RNAComposer,2,2.27e-05
Chen,5,3.03e-05
RNAComposer,1,7.39e-05
Xiao,3,1.11e-04
Xiao2,3,1.61e-04
RNAComposerHuman,3,1.80e-04
Das,5,2.86e-04
RW3D,8,8.05e-04
RW3D,9,9.63e-04
RW3D,3,1.27e-03
simRNA,1,1.54e-03
RW3D,7,1.87e-03
RW3D,10,2.44e-03
RW3D,4,2.58e-03
Xiao3,1,4.88e-03
RW3D,2,6.62e-03
RW3D,1,9.35e-03
Xiao2,4,1.29e-02
Xiao,4,1.48e-02
Xiao3,3,1.71e-02
simRNA,4,3.56e-02
Xiao3,4,3.68e-02
Xiao3,2,4.11e-02
Xiao,2,4.58e-02
simRNA,5,4.84e-02
Xiao2,2,5.04e-02
RW3D,6,5.76e-02
Chen,1,6.33e-02
RW3D,5,6.36e-02
Xiao,5,8.41e-02
Xiao2,5,9.91e-02
simRNA,3,2.38e-01
simRNA,2,5.81e-01
Xiao2,1,9.02e-01
Xiao,1,9.10e-01
