ModelGroup,BestModel,BestSolution,lDDT
Bujnicki_1,PZ10tBox_Bujnicki_1_refined.pdb,PZ10tBox_Bujnicki_1_solution.pdb,0.267
Bujnicki_10,PZ10tBox_Bujnicki_10_refined.pdb,PZ10tBox_Bujnicki_10_solution.pdb,0.253
Bujnicki_2,PZ10tBox_Bujnicki_2_refined.pdb,PZ10tBox_Bujnicki_2_solution.pdb,0.265
Bujnicki_3,PZ10tBox_Bujnicki_3_refined.pdb,PZ10tBox_Bujnicki_3_solution.pdb,0.257
Bujnicki_4,PZ10tBox_Bujnicki_4_refined.pdb,PZ10tBox_Bujnicki_4_solution.pdb,0.268
Bujnicki_5,PZ10tBox_Bujnicki_5_refined.pdb,PZ10tBox_Bujnicki_5_solution.pdb,0.265
Bujnicki_6,PZ10tBox_Bujnicki_6_refined.pdb,PZ10tBox_Bujnicki_6_solution.pdb,0.261
Bujnicki_7,PZ10tBox_Bujnicki_7_refined.pdb,PZ10tBox_Bujnicki_7_solution.pdb,0.264
Bujnicki_8,PZ10tBox_Bujnicki_8_refined.pdb,PZ10tBox_Bujnicki_8_solution.pdb,0.264
Bujnicki_9,PZ10tBox_Bujnicki_9_refined.pdb,PZ10tBox_Bujnicki_9_solution.pdb,0.257
Chen_1,PZ10tBox_Chen_1_refined.pdb,PZ10tBox_Chen_1_solution.pdb,0.247
Das_1,PZ10tBox_Das_1_refined.pdb,PZ10tBox_Das_1_solution.pdb,0.019
Das_2,PZ10tBox_Das_2_refined.pdb,PZ10tBox_Das_2_solution.pdb,0.019
Das_3,PZ10tBox_Das_3_refined.pdb,PZ10tBox_Das_3_solution.pdb,0.020
Das_4,PZ10tBox_Das_4_refined.pdb,PZ10tBox_Das_4_solution.pdb,0.020
Das_5,PZ10tBox_Das_5_refined.pdb,PZ10tBox_Das_5_solution.pdb,0.019
Dokholyan_1,PZ10tBox_Dokholyan_1_refined.pdb,PZ10tBox_Dokholyan_1_solution.pdb,0.020
Dokholyan_10,PZ10tBox_Dokholyan_10_refined.pdb,PZ10tBox_Dokholyan_10_solution.pdb,0.018
Dokholyan_2,PZ10tBox_Dokholyan_2_refined.pdb,PZ10tBox_Dokholyan_2_solution.pdb,0.021
Dokholyan_3,PZ10tBox_Dokholyan_3_refined.pdb,PZ10tBox_Dokholyan_3_solution.pdb,0.022
Dokholyan_4,PZ10tBox_Dokholyan_4_refined.pdb,PZ10tBox_Dokholyan_4_solution.pdb,0.019
Dokholyan_5,PZ10tBox_Dokholyan_5_refined.pdb,PZ10tBox_Dokholyan_5_solution.pdb,0.018
Dokholyan_6,PZ10tBox_Dokholyan_6_refined.pdb,PZ10tBox_Dokholyan_6_solution.pdb,0.019
Dokholyan_7,PZ10tBox_Dokholyan_7_refined.pdb,PZ10tBox_Dokholyan_7_solution.pdb,0.018
Dokholyan_8,PZ10tBox_Dokholyan_8_refined.pdb,PZ10tBox_Dokholyan_8_solution.pdb,0.018
Dokholyan_9,PZ10tBox_Dokholyan_9_refined.pdb,PZ10tBox_Dokholyan_9_solution.pdb,0.019
