Lab,Num,INF nwc
Adamiak,5,0.000
Das,10,0.000
Chen,8,0.000
Chen,6,0.000
Das,5,0.000
Bujnicki,4,0.000
Bujnicki,3,0.000
Adamiak,7,0.000
Chen,10,0.000
Chen,2,0.000
Chen,9,0.000
Chen,1,0.000
Bujnicki,9,-1.000
Ding,8,0.000
Chen,5,0.000
Das,2,0.000
Das,4,0.000
Chen,3,0.000
Das,8,0.000
Das,7,0.000
Ding,1,-1.000
Das,1,0.000
Bujnicki,1,0.000
Das,3,0.000
Ding,7,0.000
Chen,4,-1.000
Adamiak,6,0.000
Ding,5,-1.000
Chen,7,0.000
Ding,3,-1.000
Bujnicki,10,0.000
Ding,6,0.000
Adamiak,4,-1.000
Ding,4,0.000
Das,6,0.000
Ding,10,0.000
Adamiak,9,0.000
Ding,9,0.000
Bujnicki,8,-1.000
Bujnicki,7,-1.000
Adamiak,1,0.000
Bujnicki,5,-1.000
Adamiak,10,0.000
Xiao,1,0.000
Adamiak,3,0.000
Adamiak,2,0.000
Adamiak,8,0.000
Xiao,2,-1.000
Ding,2,0.000
Bujnicki,6,0.000
Xiao,3,0.000
Das,9,0.000
Bujnicki,2,0.000
