Lab,Num,P-value
Adamiak,5,0.00e+00
Das,10,0.00e+00
Chen,8,0.00e+00
Chen,6,0.00e+00
Das,5,0.00e+00
Bujnicki,4,0.00e+00
Bujnicki,3,0.00e+00
Adamiak,7,5.55e-17
Chen,10,2.78e-16
Chen,2,3.89e-16
Chen,9,5.55e-16
Chen,1,6.66e-16
Bujnicki,9,7.22e-16
Ding,8,8.33e-16
Chen,5,8.88e-16
Das,2,1.05e-15
Das,4,2.39e-15
Chen,3,2.89e-15
Das,8,4.55e-15
Das,7,1.17e-14
Ding,1,1.55e-14
Das,1,2.32e-14
Bujnicki,1,4.72e-14
Das,3,9.09e-14
Ding,7,9.69e-14
Chen,4,2.47e-13
Adamiak,6,4.79e-13
Ding,5,5.29e-13
Chen,7,1.07e-12
Ding,3,1.03e-11
Bujnicki,10,2.86e-11
Ding,6,6.56e-11
Adamiak,4,2.59e-10
Ding,4,3.47e-10
Das,6,7.68e-10
Ding,10,1.54e-09
Adamiak,9,6.90e-09
Ding,9,7.42e-09
Bujnicki,8,7.67e-09
Bujnicki,7,2.08e-08
Adamiak,1,7.64e-08
Bujnicki,5,1.35e-07
Adamiak,10,2.30e-07
Xiao,1,2.52e-07
Adamiak,3,3.94e-07
Adamiak,2,1.06e-06
Adamiak,8,1.69e-05
Xiao,2,2.29e-05
Ding,2,3.16e-05
Bujnicki,6,7.32e-05
Xiao,3,1.79e-04
Das,9,2.27e-04
Bujnicki,2,2.40e-04
