Lab,Num,INF stacking
Adamiak,5,0.732
Das,10,0.722
Chen,8,0.772
Chen,6,0.774
Das,5,0.755
Bujnicki,4,0.667
Bujnicki,3,0.713
Adamiak,7,0.678
Chen,10,0.755
Chen,2,0.740
Chen,9,0.762
Chen,1,0.738
Bujnicki,9,0.737
Ding,8,0.747
Chen,5,0.747
Das,2,0.762
Das,4,0.784
Chen,3,0.740
Das,8,0.757
Das,7,0.712
Ding,1,0.696
Das,1,0.738
Bujnicki,1,0.738
Das,3,0.801
Ding,7,0.806
Chen,4,0.774
Adamiak,6,0.658
Ding,5,0.686
Chen,7,0.754
Ding,3,0.718
Bujnicki,10,0.670
Ding,6,0.801
Adamiak,4,0.676
Ding,4,0.754
Das,6,0.764
Ding,10,0.715
Adamiak,9,0.795
Ding,9,0.685
Bujnicki,8,0.687
Bujnicki,7,0.703
Adamiak,1,0.703
Bujnicki,5,0.703
Adamiak,10,0.667
Xiao,1,0.671
Adamiak,3,0.676
Adamiak,2,0.694
Adamiak,8,0.754
Xiao,2,0.643
Ding,2,0.795
Bujnicki,6,0.698
Xiao,3,0.685
Das,9,0.600
Bujnicki,2,0.738
