Lab,Num,TM-score
Adamiak,5,0.3710
Das,10,0.2910
Chen,8,0.3050
Chen,6,0.3700
Das,5,0.4000
Bujnicki,4,0.3640
Bujnicki,3,0.3350
Adamiak,7,0.3000
Chen,10,0.4070
Chen,2,0.3370
Chen,9,0.3380
Chen,1,0.3620
Bujnicki,9,0.2810
Ding,8,0.3270
Chen,5,0.3290
Das,2,0.3380
Das,4,0.3610
Chen,3,0.3790
Das,8,0.2810
Das,7,0.3190
Ding,1,0.3050
Das,1,0.3240
Bujnicki,1,0.2800
Das,3,0.3240
Ding,7,0.3290
Chen,4,0.3460
Adamiak,6,0.2670
Ding,5,0.2940
Chen,7,0.3240
Ding,3,0.2950
Bujnicki,10,0.2900
Ding,6,0.2860
Adamiak,4,0.2410
Ding,4,0.2770
Das,6,0.3330
Ding,10,0.2360
Adamiak,9,0.2720
Ding,9,0.2940
Bujnicki,8,0.2760
Bujnicki,7,0.2630
Adamiak,1,0.2920
Bujnicki,5,0.2720
Adamiak,10,0.2640
Xiao,1,0.2310
Adamiak,3,0.3260
Adamiak,2,0.2190
Adamiak,8,0.2660
Xiao,2,0.2550
Ding,2,0.2880
Bujnicki,6,0.2540
Xiao,3,0.2570
Das,9,0.2880
Bujnicki,2,0.2270
