ModelGroup,BestModel,BestSolution,lDDT
3dRNAAS2_1,PZ15reconstruct_3dRNAAS2_1_refined.pdb,PZ15reconstruct_3dRNAAS2_1_solution.pdb,0.454
3dRNAAS2_10,PZ15reconstruct_3dRNAAS2_10_refined.pdb,PZ15reconstruct_3dRNAAS2_10_solution.pdb,0.456
3dRNAAS2_2,PZ15reconstruct_3dRNAAS2_2_refined.pdb,PZ15reconstruct_3dRNAAS2_2_solution.pdb,0.460
3dRNAAS2_3,PZ15reconstruct_3dRNAAS2_3_refined.pdb,PZ15reconstruct_3dRNAAS2_3_solution.pdb,0.457
3dRNAAS2_4,PZ15reconstruct_3dRNAAS2_4_refined.pdb,PZ15reconstruct_3dRNAAS2_4_solution.pdb,0.460
3dRNAAS2_5,PZ15reconstruct_3dRNAAS2_5_refined.pdb,PZ15reconstruct_3dRNAAS2_5_solution.pdb,0.460
3dRNAAS2_6,PZ15reconstruct_3dRNAAS2_6_refined.pdb,PZ15reconstruct_3dRNAAS2_6_solution.pdb,0.455
3dRNAAS2_7,PZ15reconstruct_3dRNAAS2_7_refined.pdb,PZ15reconstruct_3dRNAAS2_7_solution.pdb,0.458
3dRNAAS2_8,PZ15reconstruct_3dRNAAS2_8_refined.pdb,PZ15reconstruct_3dRNAAS2_8_solution.pdb,0.453
3dRNAAS2_9,PZ15reconstruct_3dRNAAS2_9_refined.pdb,PZ15reconstruct_3dRNAAS2_9_solution.pdb,0.459
Adamiak_1,PZ15reconstruct_Adamiak_1_refined.pdb,PZ15reconstruct_Adamiak_1_solution.pdb,0.556
Adamiak_10,PZ15reconstruct_Adamiak_10_refined.pdb,PZ15reconstruct_Adamiak_10_solution.pdb,0.611
Adamiak_2,PZ15reconstruct_Adamiak_2_refined.pdb,PZ15reconstruct_Adamiak_2_solution.pdb,0.785
Adamiak_3,PZ15reconstruct_Adamiak_3_refined.pdb,PZ15reconstruct_Adamiak_3_solution.pdb,0.772
Adamiak_4,PZ15reconstruct_Adamiak_4_refined.pdb,PZ15reconstruct_Adamiak_4_solution.pdb,0.624
Adamiak_5,PZ15reconstruct_Adamiak_5_refined.pdb,PZ15reconstruct_Adamiak_5_solution.pdb,0.599
Adamiak_6,PZ15reconstruct_Adamiak_6_refined.pdb,PZ15reconstruct_Adamiak_6_solution.pdb,0.638
Adamiak_7,PZ15reconstruct_Adamiak_7_refined.pdb,PZ15reconstruct_Adamiak_7_solution.pdb,0.632
Adamiak_8,PZ15reconstruct_Adamiak_8_refined.pdb,PZ15reconstruct_Adamiak_8_solution.pdb,0.607
Adamiak_9,PZ15reconstruct_Adamiak_9_refined.pdb,PZ15reconstruct_Adamiak_9_solution.pdb,0.563
