Lab,Num,INF nwc
Chen,1,-1.000
Chen,9,-1.000
Chen,4,-1.000
Ding,4,-1.000
Szachniuk,3,-1.000
Ding,8,-1.000
Ding,3,-1.000
Ding,7,-1.000
Ding,6,-1.000
Chen,2,-1.000
Chen,10,-1.000
Ding,2,-1.000
Ding,1,-1.000
Bujnicki,4,-1.000
Ding,5,-1.000
Xiao,4,-1.000
Szachniuk,1,-1.000
Bujnicki,2,-1.000
Xiao,1,-1.000
Chen,5,-1.000
Chen,6,-1.000
Chen,3,-1.000
Chen,7,-1.000
Szachniuk,2,-1.000
Szachniuk,4,-1.000
Bujnicki,3,-1.000
Bujnicki,1,-1.000
Xiao,5,-1.000
Bujnicki,5,-1.000
Szachniuk,5,-1.000
Xiao,2,-1.000
Chen,8,-1.000
Xiao,3,-1.000
Nithin,1,-1.000
