Lab,Num,P-value
Chen,1,0.00e+00
Chen,9,0.00e+00
Chen,4,0.00e+00
Ding,4,1.11e-16
Szachniuk,3,1.11e-16
Ding,8,4.44e-16
Ding,3,1.28e-15
Ding,7,4.27e-15
Ding,6,1.14e-14
Chen,2,1.03e-13
Chen,10,2.89e-13
Ding,2,4.95e-13
Ding,1,1.26e-12
Bujnicki,4,2.23e-12
Ding,5,2.66e-12
Xiao,4,4.89e-12
Szachniuk,1,6.72e-12
Bujnicki,2,1.57e-11
Xiao,1,9.89e-11
Chen,5,5.12e-10
Chen,6,1.23e-09
Chen,3,3.36e-09
Chen,7,3.49e-09
Szachniuk,2,1.20e-08
Szachniuk,4,1.86e-08
Bujnicki,3,6.28e-08
Bujnicki,1,2.45e-07
Xiao,5,3.23e-07
Bujnicki,5,5.25e-07
Szachniuk,5,8.25e-07
Xiao,2,4.81e-06
Chen,8,1.48e-05
Xiao,3,7.29e-05
Nithin,1,5.48e-01
