Lab,Num,P-value
Das,5,0.00e+00
Das,1,2.22e-16
Das,2,7.77e-16
Xiao,1,2.74e-12
Das,8,8.15e-12
Adamiak,5,2.49e-09
Xiao,2,3.69e-07
Das,9,8.84e-07
Bujnicki,2,3.18e-06
Das,6,6.39e-06
RNAComposer,1,6.97e-06
Adamiak,4,9.67e-06
Xiao,5,2.76e-05
RNAComposer,2,6.15e-05
Das,10,8.84e-05
Adamiak,2,1.76e-04
RNAComposer,3,3.02e-04
Dokholyan,5,3.58e-04
Bujnicki,1,2.09e-03
Das,7,3.10e-03
Chen,5,4.55e-03
Xiao,4,5.57e-02
SimRNA,5,1.13e-01
Das,3,1.13e-01
Xiao,3,1.85e-01
Dokholyan,3,1.86e-01
Dokholyan,4,1.87e-01
SimRNA,3,2.48e-01
Bujnicki,5,2.50e-01
SimRNA,4,3.32e-01
Chen,4,3.43e-01
Das,4,3.51e-01
Chen,2,5.15e-01
RNAComposer,4,6.33e-01
Chen,1,6.58e-01
Bujnicki,4,6.84e-01
SimRNA,2,6.85e-01
SimRNA,1,7.65e-01
Bujnicki,3,7.66e-01
Adamiak,3,8.48e-01
RNAComposer,5,8.84e-01
Adamiak,1,9.37e-01
Dokholyan,1,9.47e-01
Dokholyan,2,9.71e-01
Chen,3,9.99e-01
