Lab,Num,DI all
Das,5,15.041
Das,1,17.038
Das,2,16.886
Xiao,1,20.725
Das,8,19.798
Adamiak,5,22.883
Xiao,2,26.662
Das,9,25.939
Bujnicki,2,26.402
Das,6,25.341
RNAComposer,1,29.050
Adamiak,4,28.261
Xiao,5,26.940
RNAComposer,2,28.149
Das,10,27.739
Adamiak,2,30.530
RNAComposer,3,26.605
Dokholyan,5,30.084
Bujnicki,1,31.393
Das,7,31.089
Chen,5,29.193
Xiao,4,31.209
SimRNA,5,36.579
Das,3,33.772
Xiao,3,41.602
Dokholyan,3,37.050
Dokholyan,4,36.562
SimRNA,3,40.418
Bujnicki,5,38.274
SimRNA,4,42.868
Chen,4,33.035
Das,4,37.511
Chen,2,34.095
RNAComposer,4,38.457
Chen,1,34.464
Bujnicki,4,41.913
SimRNA,2,41.919
SimRNA,1,46.580
Bujnicki,3,44.965
Adamiak,3,45.765
RNAComposer,5,46.206
Adamiak,1,43.906
Dokholyan,1,45.286
Dokholyan,2,47.562
Chen,3,43.209
