Lab,Num,INF wc
Das,5,0.962
Das,1,0.863
Das,2,0.885
Xiao,1,0.809
Das,8,0.941
Adamiak,5,0.847
Xiao,2,0.750
Das,9,0.846
Bujnicki,2,0.847
Das,6,0.885
RNAComposer,1,0.667
Adamiak,4,0.770
Xiao,5,0.805
RNAComposer,2,0.770
Das,10,0.923
Adamiak,2,0.694
RNAComposer,3,0.863
Dokholyan,5,0.728
Bujnicki,1,0.847
Das,7,0.962
Chen,5,0.941
Xiao,4,0.832
SimRNA,5,0.786
Das,3,0.906
Xiao,3,0.707
Dokholyan,3,0.728
Dokholyan,4,0.702
SimRNA,3,0.549
Bujnicki,5,0.613
SimRNA,4,0.627
Chen,4,0.962
Das,4,0.907
Chen,2,0.941
RNAComposer,4,0.857
Chen,1,0.961
Bujnicki,4,0.630
SimRNA,2,0.669
SimRNA,1,0.588
Bujnicki,3,0.615
Adamiak,3,0.549
RNAComposer,5,0.538
Adamiak,1,0.731
Dokholyan,1,0.720
Dokholyan,2,0.770
Chen,3,0.898
