Lab,Num,INF wc
DasORIGINAL,3,0.939
Chen,1,0.917
Das,2,0.981
DasORIGINAL,2,0.939
Das,1,0.981
DasORIGINAL,1,0.939
Das,3,0.939
DasORIGINAL,4,0.962
Das,4,0.962
Chen,2,0.917
Dokholyan,3,0.857
Dokholyan,1,0.840
Szachniuk,5,0.784
Chen,3,0.776
Szachniuk,2,0.784
Szachniuk,3,0.784
Chen,4,0.716
Szachniuk,1,0.784
RW3D,2,0.784
SimRNA,2,0.680
RW3D,6,0.784
Szachniuk,4,0.784
DasORIGINAL,5,0.917
Das,5,0.917
RW3D,4,0.784
Dokholyan,2,0.840
3dRNA,4,0.776
RW3D,3,0.784
RW3D,5,0.784
RW3D,10,0.784
RW3D,7,0.784
RNAComposer,5,0.760
RW3D,8,0.784
Chen,5,0.735
Ding,5,0.760
RW3D,1,0.784
Ding,3,0.694
RW3D,9,0.784
LeeAS,5,0.640
YagoubAli,1,0.784
3dRNA,1,0.776
LeeAS,4,0.640
3dRNA,2,0.760
Ding,1,0.640
3dRNA,3,0.816
RNAComposer,3,0.667
RNAComposer,1,0.784
RNAComposer,4,0.784
Ding,2,0.800
RNAComposer,2,0.792
Lee,2,0.640
Lee,3,0.298
LeeAS,3,0.306
Lee,4,0.640
Lee,1,0.628
SimRNA,1,0.320
LeeAS,1,0.653
LeeAS,2,0.640
3dRNA,5,0.776
Lee,5,0.653
SimRNA,3,0.549
Ding,4,0.292
