Lab,Num,P-value
DasORIGINAL,3,0.00e+00
Chen,1,0.00e+00
Das,2,0.00e+00
DasORIGINAL,2,0.00e+00
Das,1,0.00e+00
DasORIGINAL,1,0.00e+00
Das,3,0.00e+00
DasORIGINAL,4,0.00e+00
Das,4,0.00e+00
Chen,2,0.00e+00
Dokholyan,3,0.00e+00
Dokholyan,1,0.00e+00
Szachniuk,5,5.55e-17
Chen,3,5.55e-17
Szachniuk,2,1.11e-16
Szachniuk,3,1.11e-16
Chen,4,1.11e-16
Szachniuk,1,2.22e-16
RW3D,2,1.39e-15
SimRNA,2,1.02e-14
RW3D,6,1.34e-14
Szachniuk,4,1.07e-13
DasORIGINAL,5,1.43e-13
Das,5,1.43e-13
RW3D,4,1.65e-12
Dokholyan,2,9.25e-12
3dRNA,4,5.89e-11
RW3D,3,6.85e-11
RW3D,5,1.47e-09
RW3D,10,1.58e-09
RW3D,7,2.22e-07
RNAComposer,5,4.60e-07
RW3D,8,1.81e-06
Chen,5,2.64e-06
Ding,5,5.75e-06
RW3D,1,9.47e-06
Ding,3,1.22e-05
RW3D,9,7.28e-05
LeeAS,5,9.49e-04
YagoubAli,1,1.33e-03
3dRNA,1,1.86e-03
LeeAS,4,2.20e-03
3dRNA,2,3.60e-03
Ding,1,1.82e-02
3dRNA,3,1.84e-02
RNAComposer,3,2.85e-02
RNAComposer,1,3.31e-02
RNAComposer,4,3.46e-02
Ding,2,5.27e-02
RNAComposer,2,5.35e-02
Lee,2,5.44e-02
Lee,3,7.25e-02
LeeAS,3,7.28e-02
Lee,4,1.47e-01
Lee,1,2.43e-01
SimRNA,1,3.08e-01
LeeAS,1,3.14e-01
LeeAS,2,3.81e-01
3dRNA,5,5.10e-01
Lee,5,6.10e-01
SimRNA,3,6.28e-01
Ding,4,6.88e-01
