Lab,Num,DI all
DasORIGINAL,3,3.736
Chen,1,4.837
Das,2,4.424
DasORIGINAL,2,4.662
Das,1,6.388
DasORIGINAL,1,6.511
Das,3,6.511
DasORIGINAL,4,6.618
Das,4,6.618
Chen,2,8.183
Dokholyan,3,11.727
Dokholyan,1,11.672
Szachniuk,5,12.611
Chen,3,12.809
Szachniuk,2,12.676
Szachniuk,3,12.779
Chen,4,13.842
Szachniuk,1,12.838
RW3D,2,15.011
SimRNA,2,16.792
RW3D,6,15.543
Szachniuk,4,15.079
DasORIGINAL,5,13.559
Das,5,13.559
RW3D,4,16.824
Dokholyan,2,16.151
3dRNA,4,18.025
RW3D,3,18.677
RW3D,5,20.082
RW3D,10,19.839
RW3D,7,21.822
RNAComposer,5,24.183
RW3D,8,24.213
Chen,5,22.464
Ding,5,24.269
RW3D,1,24.896
Ding,3,24.317
RW3D,9,25.861
LeeAS,5,30.357
YagoubAli,1,29.251
3dRNA,1,26.749
LeeAS,4,31.544
3dRNA,2,26.673
Ding,1,32.693
3dRNA,3,28.062
RNAComposer,3,30.987
RNAComposer,1,30.391
RNAComposer,4,29.776
Ding,2,29.411
RNAComposer,2,30.640
Lee,2,33.897
Lee,3,48.652
LeeAS,3,47.929
Lee,4,37.434
Lee,1,40.827
SimRNA,1,44.728
LeeAS,1,40.969
LeeAS,2,37.643
3dRNA,5,36.073
Lee,5,41.506
SimRNA,3,42.683
Ding,4,50.909
