Lab,Num,P-value
Chen,1,0.00e+00
Chen,2,1.66e-16
DasLab,2,1.76e-13
Das,2,1.76e-13
RNAComposer,3,2.20e-12
Adamiak,5,5.31e-12
Chen,4,7.32e-12
Bujnicki,2,2.09e-11
DasLab,5,3.82e-11
Das,5,3.82e-11
RNAComposer,2,1.82e-10
DasLab,4,1.86e-10
Das,4,1.86e-10
LeeServer,2,3.39e-10
Adamiak,1,8.14e-10
RNAComposer,5,1.84e-09
Adamiak,4,2.68e-08
DasLab,3,5.07e-08
Das,3,5.07e-08
RNAComposer,4,7.29e-08
LeeServer,4,7.76e-08
3dRNA,4,3.61e-07
3dRNA,2,4.80e-07
Bujnicki,1,1.88e-06
SimRNA,3,2.20e-06
Adamiak,3,3.69e-06
SimRNA,2,5.35e-06
SimRNA,1,1.04e-05
Bujnicki,4,2.50e-05
Ding,1,3.78e-05
3dRNA,5,4.53e-05
3dRNA,1,4.62e-05
LeeServer,1,5.63e-05
DasLab,1,7.93e-05
Das,1,7.93e-05
Chen,3,9.52e-05
3dRNA,3,1.11e-04
RNAComposer,1,1.75e-04
RW3D,5,1.90e-04
Bujnicki,3,2.22e-04
RW3D,4,2.25e-04
Ding,2,3.48e-04
LeeServer,5,5.72e-04
RW3D,2,7.55e-04
Bujnicki,5,9.34e-04
RW3D,6,1.26e-03
Dokholyan,1,1.31e-03
RW3D,1,1.66e-03
RW3D,8,2.22e-03
Adamiak,2,2.42e-03
RW3D,3,2.84e-03
Ding,3,3.55e-03
RW3D,7,3.81e-03
Ding,4,3.87e-03
RW3D,10,5.12e-03
RW3D,9,6.32e-03
LeeServer,3,8.44e-02
Ding,5,1.36e-01
Chen,5,5.85e-01
